Rank,Player,team,age
1,"Jokic, Nikola",DEN,25
2,"Curry, Stephen",GSW,32
3,"Irving, Kyrie",BKN,28
4,"Leonard, Kawhi",LAC,29
5,"Butler, Jimmy",MIA,31
6,"Embiid, Joel",PHI,26
7,"Harden, James",BKN,31
8,"Durant, Kevin",BKN,32
9,"Thomas, Khyri",HOU,24
10,"Lillard, Damian",POR,30
11,"Vucevic, Nikola",CHI,30
12,"Towns, Karl-Anthony",MIN,25
13,"Turner, Myles",IND,24
14,"Beal, Bradley",WAS,27
15,"Tatum, Jayson",BOS,22
Rank,Player,team,age
16,"Vanvleet, Fred",TOR,26
17,"Antetokounmpo, Giannis",MIL,26
18,"Paul, Chris",PHO,35
19,"Adebayo, Bam",MIA,23
20,"Holiday, Jrue",MIL,30
21,"Gobert, Rudy",UTA,28
22,"Porzingis, Kristaps",DAL,25
23,"Capela, Clint",ATL,26
24,"George, Paul",LAC,30
25,"LaVine, Zach",CHI,25
26,"Sabonis, Domantas",IND,24
27,"Porter, Michael",DEN,22
28,"Harris, Tobias",PHI,28
29,"Davis, Anthony",LAL,27
30,"McCollum, CJ",POR,29
Rank,Player,team,age
31,"Valanciunas, Jonas",MEM,28
32,"Murray, Jamal",DEN,23
33,"Holmes, Richaun",SAC,27
34,"James, LeBron",LAL,36
35,"Anunoby, O.G.",TOR,23
36,"Brown, Jaylen",BOS,24
37,"Doncic, Luka",DAL,21
38,"Rozier, Terry",CHA,26
39,"Randle, Julius",NYK,26
40,"Boucher, Chris",TOR,27
41,"Middleton, Khris",MIL,29
42,"Bridges, Mikal",PHO,24
43,"DeRozan, DeMar",SAS,31
44,"Ayton, Deandre",PHO,22
45,"Hayward, Gordon",CHA,30
Rank,Player,team,age
46,"Mitchell, Donovan",UTA,24
47,"Collins, John",ATL,23
48,"Ball, Lonzo",NOR,23
49,"Siakam, Pascal",TOR,26
50,"Bogdanovic, Bogdan",ATL,28
51,"Ingram, Brandon",NOR,23
52,"Brogdon, Malcolm",IND,28
53,"Covington, Robert",POR,30
54,"Lowry, Kyle",TOR,34
55,"Gilgeous-Alexander, Shai",OKC,22
56,"Green, Draymond",GSW,30
57,"Conley, Mike",UTA,33
58,"Young, Trae",ATL,22
59,"LeVert, Caris",IND,26
60,"Horford, Al",OKC,34
Rank,Player,team,age
61,"Walker, Kemba",BOS,30
62,"Jackson, Jaren",MEM,21
63,"Olynyk, Kelly",HOU,29
64,"Wood, Christian",HOU,25
65,"Haliburton, Tyrese",SAC,20
66,"Anderson, Kyle",MEM,27
67,"Murray, Dejounte",SAS,24
68,"Williamson, Zion",NOR,20
69,"Williams, Robert",BOS,23
70,"McConnell, TJ",IND,28
71,"Noel, Nerlens",NYK,26
72,"Fox, De'Aaron",SAC,23
73,"Ball, LaMelo",CHA,19
74,"Powell, Norman",POR,27
75,"Booker, Devin",PHO,24
Rank,Player,team,age
76,"Nance, Larry",CLE,28
77,"Westbrook, Russell",WAS,32
78,"Wright, Delon",SAC,28
79,"Robinson, Mitchell",NYK,22
80,"Hield, Buddy",SAC,27
81,"Grant, Jerami",DET,26
82,"Barnes, Harrison",SAC,28
83,"Fournier, Evan",BOS,28
84,"Washington, PJ",CHA,22
85,"Lopez, Brook",MIL,32
86,"Green, Danny",PHI,33
87,"Allen, Jarrett",CLE,22
88,"Wiggins, Andrew",GSW,25
89,"Beasley, Malik",MIN,24
90,"Brissett, OShae",IND,22
Rank,Player,team,age
91,"Kanter, Enes",POR,28
92,"Smart, Marcus",BOS,26
93,"Bridges, Miles",CHA,22
94,"White, Derrick",SAS,26
95,"Poeltl, Jakob",SAS,25
96,"Harris, Joe",BKN,29
97,"Simmons, Ben",PHI,24
98,"Bryant, Thomas",WAS,23
99,"Hunter, De'Andre",ATL,23
100,"Nunn, Kendrick",MIA,25
101,"Oladipo, Victor",MIA,28
102,"Plumlee, Mason",DET,30
103,"Sexton, Collin",CLE,21
104,"Nurkic, Jusuf",POR,26
105,"Clarkson, Jordan",UTA,28
Rank,Player,team,age
106,"Lamb, Jeremy",IND,28
107,"Young, Thaddeus",CHI,32
108,"Batum, Nicolas",LAC,32
109,"Clarke, Brandon",MEM,24
110,"Ingles, Joe",UTA,33
111,"Portis, Bobby",MIL,25
112,"Russell, D'Angelo",MIN,24
113,"Drummond, Andre",LAL,27
114,"Finney-Smith, Dorian",DAL,27
115,"Huerter, Kevin",ATL,22
116,"Tate, Jae'sean",HOU,25
117,"Holiday, Justin",IND,31
118,"Aldridge, LaMarcus",BKN,35
119,"Edwards, Anthony",MIN,19
120,"Graham, Devonte'",CHA,25
Rank,Player,team,age
121,"Oubre, Kelly",GSW,25
122,"Rubio, Ricky",MIN,30
123,"Garland, Darius",CLE,20
124,"Rose, Derrick",NYK,32
125,"Ibaka, Serge",LAC,31
126,"DiVincenzo, Donte",MIL,23
127,"Gallinari, Danilo",ATL,32
128,"Ariza, Trevor",MIA,35
129,"Ross, Terrence",ORL,29
130,"ONeale, Royce",UTA,27
131,"Robinson, Duncan",MIA,26
132,"Harrell, Montrezl",LAL,26
133,"Thybulle, Matisse",PHI,23
134,"King, Louis",SAC,21
135,"Hart, Josh",NOR,25
Rank,Player,team,age
136,"Schroder, Dennis",LAL,27
137,"Melton, De'Anthony",MEM,22
138,"Richardson, Josh",DAL,27
139,"Crowder, Jae",PHO,30
140,"Stewart, Isaiah",DET,19
141,"Markkanen, Lauri",CHI,23
142,"Bullock, Reggie",NYK,29
143,"Curry, Seth",PHI,30
144,"Morris, Marcus",LAC,31
145,"Hardaway Jr, Tim",DAL,28
146,"Brooks, Dillon",MEM,24
147,"Zubac, Ivica",LAC,23
148,"Burks, Alec",NYK,29
149,"Love, Kevin",CLE,32
150,"Theis, Daniel",CHI,28
Rank,Player,team,age
151,"Carter, Wendell",ORL,22
152,"Trent, Gary",TOR,21
153,"Gibson, Taj",NYK,35
154,"Anthony, Carmelo",POR,36
155,"Bogdanovic, Bojan",UTA,31
156,"Bey, Saddiq",DET,21
157,"Allen, Grayson",MEM,25
158,"Martin Jr., Kenyon",HOU,19
159,"Oliver, Cameron",HOU,24
160,"Herro, Tyler",MIA,20
161,"Brown, Bruce",BKN,24
162,"Patton, Justin",HOU,23
163,"Kleber, Maxi",DAL,28
164,"Gay, Rudy",SAS,34
165,"Millsap, Paul",DEN,35
Rank,Player,team,age
166,"White, Coby",CHI,20
167,"Barton, Will",DEN,29
168,"Caldwell-Pope, Kentavious",LAL,27
169,"Wall, John",HOU,30
170,"Brown, Moses",OKC,21
171,"Okeke, Chuma",ORL,22
172,"Bertans, Davis",WAS,28
173,"Barrett, R.J.",NYK,20
174,"Reid, Naz",MIN,21
175,"Neto, Raul",WAS,28
176,"Nwaba, David",HOU,27
177,"Gordon, Eric",HOU,32
178,"Kuzma, Kyle",LAL,25
179,"Beverley, Patrick",LAC,32
180,"Toscano, Juan",GSW,27
Rank,Player,team,age
181,"Gafford, Daniel",WAS,22
182,"Green, Jeff",BKN,34
183,"Brunson, Jalen",DAL,24
184,"Brown, Sterling",HOU,25
185,"Campazzo, Facundo",DEN,29
186,"McDermott, Doug",IND,28
187,"Hachimura, Rui",WAS,22
188,"Favors, Derrick",UTA,29
189,"Morris, Monte",DEN,25
190,"Cousins, DeMarcus",LAC,30
191,"Birch, Khem",TOR,28
192,"Adams, Steven",NOR,27
193,"Vanderbilt, Jarred",MIN,21
194,"Jordan, DeAndre",BKN,32
195,"Johnson, Keldon",SAS,21
Rank,Player,team,age
196,"Connaughton, Pat",MIL,27
197,"Williams, Patrick",CHI,19
198,"Griffin, Blake",BKN,31
199,"Bamba, Mohamed",ORL,22
200,"Alexander-Walker, Nickeil",NOR,22
201,"Porter Jr, Otto",ORL,27
202,"Claxton, Nicolas",BKN,21
203,"Payne, Cameron",PHO,26
204,"Reddish, Cam",ATL,21
205,"Zeller, Cody",CHA,28
206,"Morant, Ja",MEM,21
207,"Jerome, Ty",OKC,23
208,"Joseph, Cory",DET,29
209,"Jackson, Reggie",LAC,30
210,"Gasol, Marc",LAL,35
Rank,Player,team,age
211,"Bane, Desmond",MEM,22
212,"Johnson, Cameron",PHO,24
213,"Dieng, Gorgui",SAS,30
214,"Prince, Taurean",CLE,26
215,"Gordon, Aaron",DEN,25
216,"Williams, Kenrich",OKC,26
217,"Bazemore, Kent",GSW,31
218,"Ennis, James",ORL,30
219,"Bradley, Tony",OKC,22
220,"Tillman, Xavier",MEM,21
221,"Brooks, Armoni",HOU,22
222,"Dedmon, Dewayne",MIA,31
223,"Roby, Isaiah",OKC,22
224,"Bryant, Elijah",MIL,25
225,"McDaniels, Jaden",MIN,20
Rank,Player,team,age
226,"Smith Jr., Dennis",DET,23
227,"Dragic, Goran",MIA,34
228,"Satoransky, Tomas",CHI,29
