Rank,Player,team,age
229,"Gillespie, Freddie",TOR,23
230,"Hernangomez, Guillermo",NOR,26
231,"Lee, Damion",GSW,28
232,"Mills, Patrick",SAS,32
233,"Deck, Gabriel",OKC,25
234,"Poole, Jordan",GSW,21
235,"Jones, Derrick",POR,23
236,"Bledsoe, Eric",NOR,31
237,"Hayes, Jaxson",NOR,20
238,"Jones, Tyus",MEM,24
239,"Temple, Garrett",CHI,34
240,"Dinwiddie, Spencer",BKN,27
Rank,Player,team,age
241,"Muscala, Mike",OKC,29
242,"Green, JaMychal",DEN,30
243,"Anthony, Cole",ORL,20
244,"Dort, Luguentz",OKC,21
245,"Warren, TJ",IND,27
246,"Hill, George",PHI,34
247,"Milton, Shake",PHI,121
248,"Osman, Cedi",CLE,25
249,"Powell, Dwight",DAL,29
250,"Porter, Kevin",HOU,20
251,"Craig, Torrey",PHO,30
252,"Bagley, Marvin",SAC,21
253,"Fultz, Markelle",ORL,22
254,"Iguodala, Andre",MIA,36
255,"Quickley, Immanuel",NYK,21
Rank,Player,team,age
256,"Caruso, Alex",LAL,26
257,"Ellington, Wayne",DET,33
258,"Jackson, Josh",DET,23
259,"Johnson, James",NOR,33
260,"Horton-Tucker, Talen",LAL,20
261,"Korkmaz, Furkan",PHI,23
262,"Davis, Terence",SAC,23
263,"McGee, JaVale",DEN,32
264,"McLaughlin, Jordan",MIN,24
265,"Wade, Dean",CLE,24
266,"Marshall, Naji",NOR,22
267,"Shamet, Landry",BKN,23
268,"Pritchard, Payton",BOS,22
269,"Rivers, Austin",DEN,28
270,"Smith, Ishmael",WAS,32
Rank,Player,team,age
271,"Bitadze, Goga",IND,21
272,"Thompson, Tristan",BOS,29
273,"Okoro, Isaac",CLE,19
274,"Mann, Terance",LAC,24
275,"Harkless, Maurice",SAC,27
276,"Cauley-Stein, Willie",DAL,27
277,"Bembry, DeAndre'",TOR,26
278,"Monk, Malik",CHA,22
279,"Franks, Robert",ORL,24
280,"Hall, Donta",ORL,23
281,"Flynn, Malachi",TOR,22
282,"Johnson, Alize",BKN,24
283,"Ellenson, Henry",TOR,23
284,"Williams, Lou",ATL,34
285,"Wiseman, James",GSW,19
Rank,Player,team,age
286,"Kennard, Luke",LAC,24
287,"Davis, Ed",MIN,31
288,"Avdija, Deni",WAS,19
289,"Harris, Gary",ORL,26
290,"Walker, Lonnie",SAS,22
291,"Saric, Dario",PHO,26
292,"Lopez, Robin",WAS,32
293,"Diallo, Hamidou",DET,22
294,"Konchar, John",MEM,24
295,"Rondo, Rajon",LAC,34
296,"House, Danuel",HOU,27
297,"Len, Alex",WAS,27
298,"Vassell, Devin",SAS,20
299,"Eubanks, Drew",SAS,23
300,"Okogie, Josh",MIN,22
Rank,Player,team,age
301,"Wagner, Moritz",ORL,23
302,"Miller, Darius",OKC,30
303,"Nowell, Jaylen",MIN,21
304,"Whiteside, Hassan",SAC,31
305,"Howard, Dwight",PHI,35
306,"Tucker, PJ",MIL,35
307,"McDaniels, Jalen",CHA,22
308,"Mykhailiuk, Sviatoslav",OKC,23
309,"Aminu, Al-Farouq",CHI,30
310,"Forbes, Bryn",MIL,27
311,"Dozier, P.J.",DEN,24
312,"Looney, Kevon",GSW,24
313,"Bazley, Darius",OKC,20
314,"Snell, Tony",ATL,29
315,"Watanabe, Yuta",TOR,26
Rank,Player,team,age
316,"Augustin, DJ",HOU,33
317,"Bacon, Dwayne",ORL,25
318,"Johnson, Stanley",TOR,24
319,"Ferrell, Yogi",LAC,27
320,"Windler, Dylan",CLE,24
321,"Sumner, Edmond",IND,25
322,"Maledon, Theo",OKC,19
323,"Hartenstein, Isaiah",CLE,22
324,"Niang, Georges",UTA,27
325,"Teague, Jeff",MIL,32
326,"Okongwu, Onyeka",ATL,20
327,"Jones, Damian",SAC,25
328,"Kaminsky, Frank",PHO,27
329,"Simons, Anfernee",POR,21
330,"Maxey, Tyrese",PHI,20
Rank,Player,team,age
331,"Jackson, Frank",DET,22
332,"Harris, Jalen",TOR,22
333,"Valentine, Denzel",CHI,27
334,"Lewis, Kira",NOR,19
335,"Bradley, Avery",HOU,30
336,"Payton, Elfrid",NYK,26
337,"Baynes, Aron",TOR,34
338,"Morris, Markieff",LAL,31
339,"Metu, Chimezie",SAC,23
340,"Hill, Solomon",ATL,29
341,"Nader, Abdel",PHO,27
342,"Biyombo, Bismack",CHA,28
343,"Matthews, Wesley",LAL,34
344,"Layman, Jake",MIN,26
345,"Mathews, Garrison",WAS,24
Rank,Player,team,age
346,"Burke, Trey",DAL,28
347,"Kornet, Luke",BOS,25
348,"Hayes, Killian",DET,19
349,"Pokusevski, Aleksej",OKC,19
350,"Holiday, Aaron",IND,24
351,"Lee, Saben",DET,21
352,"McGruder, Rodney",DET,29
353,"Bjelica, Nemanja",MIA,32
354,"Wanamaker, Brad",CHA,31
355,"Martin, Cody",CHA,25
356,"Scrubb, Jay",LAC,20
357,"Patterson, Patrick",LAC,31
358,"Hoard, Jaylen",OKC,21
359,"Carter-Williams, Michael",ORL,29
360,"Jeffries, DaQuan",HOU,23
Rank,Player,team,age
361,"Maker, Thon",CLE,23
362,"Carter, Jevon",PHO,25
363,"Luwawu-Cabarrot, Timothe",BKN,25
364,"Ilyasova, Ersan",UTA,33
365,"Bell, Jordan",GSW,25
366,"Scott, Mike",PHI,32
367,"Nwora, Jordan",MIL,22
368,"Wilson, D.J.",HOU,24
369,"Williams, Grant",BOS,22
370,"Jackson, Justin",MIL,25
371,"Diakite, Mamadi",MIL,23
372,"Martin, Caleb",CHA,25
373,"Randle, Chasson",ORL,27
374,"Moore, E'Twaun",PHO,31
375,"Nesmith, Aaron",BOS,21
Rank,Player,team,age
376,"Redick, JJ",DAL,36
377,"McLemore, Ben",LAL,27
378,"Johnson, Tyler",BKN,28
379,"Payton II, Gary",GSW,28
380,"Hernangomez, Juan",MIN,25
381,"Paschall, Eric",GSW,24
382,"Brazdeikis, Ignas",ORL,21
383,"Exum, Dante",CLE,25
384,"Green, Javonte",CHI,27
385,"James, Mike",BKN,30
386,"Martin, Kelan",IND,25
387,"Lyles, Trey",SAS,25
388,"Reed, Paul",PHI,21
389,"Hampton, R.J.",ORL,19
390,"Cannady, Devin",ORL,24
Rank,Player,team,age
391,"Strus, Max",MIA,24
392,"Parker, Jabari",BOS,25
393,"Mulder, Mychal",GSW,26
394,"Lamb, Anthony",HOU,22
395,"Fall, Tacko",BOS,25
396,"Hutchison, Chandler",WAS,24
397,"Brown, Troy",CHI,21
398,"Waters, Tremont",BOS,22
399,"Toppin, Obi",NYK,22
400,"Ojeleye, Semi",BOS,26
401,"Little, Nassir",POR,20
402,"Mays, Skylar",ATL,23
403,"Brimah, Amida",IND,26
404,"Gill, Anthony",WAS,28
405,"Robinson III, Glenn",SAC,26
Rank,Player,team,age
406,"Gabriel, Wenyen",NOR,23
407,"Dotson, Damyean",CLE,26
408,"Watson, Paul",TOR,26
409,"Marjanovic, Boban",DAL,32
410,"Okafor, Jahlil",DET,25
411,"Stevens, Lamar",CLE,23
412,"Robinson, Jerome",WAS,23
413,"Clark, Gary",PHI,26
414,"Mannion, Nico",GSW,19
415,"Dellavedova, Matthew",CLE,30
416,"Tillie, Killian",MEM,22
417,"Galloway, Langston",PHO,29
418,"Haslem, Udonis",MIA,40
419,"Chiozza, Chris",BKN,25
420,"Winslow, Justise",MEM,24
Rank,Player,team,age
421,"Vincent, Gabe",MIA,24
422,"Melli, Nicolo",DAL,29
423,"Hood, Rodney",TOR,28
424,"Forrest, Trent",UTA,22
425,"Brown, Charlie",OKC,22
426,"Giles, Harry",POR,22
427,"Bone, Jordan",ORL,23
428,"Culver, Jarrett",MIN,21
429,"McCaw, Patrick",TOR,25
430,"Knox, Kevin",NYK,21
431,"Nnaji, Zeke",DEN,19
432,"Chriss, Marquese",GSW,23
433,"Merrill, Sam",MIL,24
434,"Thomas, Brodric",CLE,22
435,"Cook, Tyler",DET,23
Rank,Player,team,age
436,"Achiuwa, Precious",MIA,21
437,"Harrison, Shaquille",DEN,27
438,"Doumbouya, Sekou",DET,20
439,"Sampson, Jakarr",IND,27
440,"Ntilikina, Frank",NYK,22
441,"Bates-Diop, Keita",SAS,24
442,"Perry, Reggie",BKN,20
443,"Joe, Isaiah",PHI,21
444,"Mathias, Dakota",PHI,25
445,"Knight, Nathan",ATL,23
446,"Pelle, Norvel",NYK,27
447,"Arcidiacono, Ryan",CHI,26
448,"Dotson, Devon",CHI,21
449,"Thornwell, Sindarius",ORL,26
450,"Ramsey, Jahmi'us",SAC,19
Rank,Player,team,age
451,"Brantley, Jarrell",UTA,24
452,"Green, Josh",DAL,20
453,"Goodwin, Brandon",ATL,25
454,"Kabengele, Mfiondu",CLE,23
455,"Langford, Romeo",BOS,21
456,"Edwards, Carsen",BOS,22
457,"Hollis-Jefferson, Rondae",POR,25
458,"Toupane, Axel",MIL,28
459,"Oni, Miye",UTA,23
460,"Okpala, KZ",MIA,21
461,"Iwundu, Wesley",NOR,26
462,"Roberson, Andre",BKN,29
463,"Kurucs, Rodions",MIL,22
464,"Cook, Quinn",CLE,27
465,"Bonga, Isaac",WAS,21
Rank,Player,team,age
466,"Antetokounmpo, Thanasis",MIL,28
467,"McKinnie, Alfonzo",LAL,28
468,"Riller, Grant",CHA,23
469,"Samanic, Luka",SAS,20
470,"Leaf, T.J.",POR,23
471,"Cancar, Vlatko",DEN,23
472,"Weatherspoon, Quinndary",SAS,24
473,"McDermott, Sean",MEM,24
474,"Silva, Chris",SAC,24
475,"Jones, Tre",SAS,20
476,"Coffey, Amir",LAC,23
477,"Carey Jr., Vernon",CHA,19
478,"Cacok, Devontae",LAL,24
479,"Oturu, Daniel",LAC,21
480,"Robinson, Justin",OKC,25
Rank,Player,team,age
481,"Tolliver, Anthony",PHI,35
482,"Elleby, C.J.",POR,20
483,"Guy, Kyle",SAC,23
484,"Thomas, Matt",UTA,26
485,"James, Justin",SAC,23
486,"Porter, Jontay",MEM,21
487,"Mason III, Frank",ORL,26
488,"Leonard, Meyers",MIA,28
489,"Smailagic, Alen",GSW,20
490,"Jones, Mason",PHI,22
491,"Bol, Bol",DEN,21
492,"Louzada, Didi",NOR,21
493,"Bolden, Marques",CLE,22
494,"Smith, Jalen",PHO,20
495,"Hinton, Nate",DAL,21
Rank,Player,team,age
496,"Dudley, Jared",LAL,35
497,"Winston, Cassius",WAS,22
498,"Caboclo, Bruno",HOU,25
499,"Terry, Tyrell",DAL,20
500,"Azubuike, Udoka",UTA,21
501,"Tucker, Rayjon",PHI,23
502,"Morgan, Juwan",UTA,23
503,"Sirvydis, Deividas",DET,20
504,"Reynolds, Cameron",HOU,25
505,"Felicio, Cristiano",CHI,28
506,"Fernando, Bruno",ATL,22
507,"Howard, Markus",DEN,21
508,"Darling, Nate",CHA,22
509,"Fitts, Malik",LAC,23
510,"Dunn, Kris",ATL,26
Rank,Player,team,age
511,"Nunnally, James",NOR,30
512,"Thomas, Isaiah",NOR,31
513,"Mane, Karim",ORL,20
514,"Shumpert, Iman",BKN,30
515,"Hughes, Elijah",UTA,22
516,"Mokoka, Adam",CHI,22
517,"Stanley, Cassius",IND,21
518,"Varejao, Anderson",CLE,38
519,"Martin, Jeremiah",CLE,24
520,"Woodard, Robert",SAC,21
521,"Alexander, Ty-Shon",PHO,22
522,"Blevins, Keljin",POR,25
523,"Bowen II, Brian",IND,22
524,"Bey, Tyler",DAL,22
525,"Lecque, Jalen",IND,20
Rank,Player,team,age
526,"Richards, Nick",CHA,23
527,"Pinson, Theo",NYK,25
528,"Adams, Jaylen",MIL,24
529,"Poirier, Vincent",PHI,27
530,"Ferguson, Terrance",PHI,22
531,"Antetokounmpo, Kostas",LAL,23
532,"Harper, Jared",NYK,23
533,"Whittington, Greg",DEN,27
534,"Hagans, Ashton",MIN,21
535,"Frazier, Tim",MEM,30
536,"Vonleh, Noah",BKN,25
537,"Spalding, Ray",HOU,23
538,"Hall, Josh",OKC,20
539,"Magnay, Will",NOR,22
540,"Pasecniks, Anzejs",WAS,25
