Rank,Player,team,age
59,"Murray, Keegan",SAC,23
60,"Williams, Mark",CHA,22
Rank,Player,team,age
61,"Bogdanovic, Bogdan",ATL,31
62,"DiVincenzo, Donte",NYK,26
63,"Sengun, Alperen",HOU,21
64,"Russell, D'Angelo",LAL,27
65,"Jones, Herb",NOR,25
66,"Murphy, Trey",NOR,23
67,"Jones, Tyus",WAS,27
68,"Vassell, Devin",SAS,23
69,"Conley, Mike",MIN,36
70,"Wagner, Franz",ORL,22
71,"Porter, Michael",DEN,25
72,"Beal, Bradley",PHO,30
73,"Claxton, Nicolas",BKN,24
74,"Hartenstein, Isaiah",NYK,25
75,"Holiday, Jrue",BOS,33
Rank,Player,team,age
76,"Anunoby, O.G.",NYK,26
77,"Brown, Jaylen",BOS,27
78,"Siakam, Pascal",IND,29
79,"Duren, Jalen",DET,20
80,"Collins, John",UTA,26
81,"LaVine, Zach",CHI,28
82,"Cunningham, Cade",DET,22
83,"Melton, De'Anthony",PHI,25
84,"Kessler, Walker",UTA,22
85,"Ingram, Brandon",NOR,26
86,"Horford, Al",BOS,37
87,"Smith Jr, Jabari",HOU,20
88,"Reaves, Austin",LAL,25
89,"Herro, Tyler",MIA,23
90,"Poeltl, Jakob",TOR,28
Rank,Player,team,age
91,"Bridges, Mikal",BKN,27
92,"Eason, Tari",HOU,22
93,"Simons, Anfernee",POR,24
94,"Capela, Clint",ATL,29
95,"White, Coby",CHI,23
96,"Quickley, Immanuel",TOR,24
97,"Green, Draymond",GSW,33
98,"Suggs, Jalen",ORL,22
99,"Paul, Chris",GSW,38
100,"Thompson, Klay",GSW,33
101,"Caldwell-Pope, Kentavious",DEN,30
102,"Portis, Bobby",MIL,28
103,"Middleton, Khris",MIL,32
104,"Pippen Jr., Scotty",MEM,23
105,"Williams, Robert",POR,26
Rank,Player,team,age
106,"Zubac, Ivica",LAC,26
107,"Sexton, Collin",UTA,24
108,"Okongwu, Onyeka",ATL,23
109,"Garland, Darius",CLE,23
110,"Nesmith, Aaron",IND,24
111,"Williamson, Zion",NOR,23
112,"Nurkic, Jusuf",PHO,29
113,"Smart, Marcus",MEM,29
114,"Kuzma, Kyle",WAS,28
115,"Thybulle, Matisse",POR,26
116,"Miller, Brandon",CHA,21
117,"Jones, Tre",SAS,23
118,"Valanciunas, Jonas",NOR,31
119,"Reid, Naz",MIN,24
120,"Lively II, Dereck",DAL,19
Rank,Player,team,age
121,"Grant, Jerami",POR,29
122,"Strus, Max",CLE,27
123,"Brogdon, Malcolm",POR,31
124,"Olynyk, Kelly",TOR,32
125,"Hart, Josh",NYK,28
126,"Hield, Buddy",PHI,30
127,"LeVert, Caris",CLE,29
128,"Johnson, Cameron",BKN,27
129,"Randle, Julius",NYK,29
130,"Thomas, Cam",BKN,22
131,"Avdija, Deni",WAS,22
132,"Oubre, Kelly",PHI,28
133,"Dosunmu, Ayo",CHI,23
134,"Poole, Jordan",WAS,24
135,"Bey, Saddiq",ATL,24
Rank,Player,team,age
136,"Washington, PJ",DAL,25
137,"Thompson, Amen",HOU,20
138,"Williams, Vince",MEM,23
139,"Richards, Nick",CHA,26
140,"Simmons, Kobi",TOR,26
141,"Trent, Gary",TOR,24
142,"Dort, Luguentz",OKC,24
143,"Johnson, Keldon",SAS,24
144,"Giddey, Josh",OKC,21
145,"Reed, Paul",PHI,24
146,"Green, Jalen",HOU,21
147,"Hachimura, Rui",LAL,25
148,"Monk, Malik",SAC,25
149,"Gordon, Aaron",DEN,28
150,"Schroder, Dennis",BKN,30
Rank,Player,team,age
151,"Robinson, Duncan",MIA,29
152,"Covington, Robert",PHI,33
153,"McConnell, TJ",IND,31
154,"Lowry, Kyle",PHI,37
155,"Beasley, Malik",MIL,27
156,"Hunter, De'Andre",ATL,26
157,"Aldama, Santi",MEM,22
158,"Toppin, Obi",IND,25
159,"Banchero, Paolo",ORL,21
160,"Isaac, Jonathan",ORL,26
161,"ONeale, Royce",PHO,30
162,"Gordon, Eric",PHO,35
163,"Konchar, John",MEM,27
164,"Daniels, Dyson",NOR,20
165,"Simmons, Ben",BKN,27
Rank,Player,team,age
166,"Powell, Norman",LAC,30
167,"Mann, Tre",CHA,22
168,"Carter, Wendell",ORL,25
169,"Jaquez Jr., Jaime",MIA,22
170,"Huerter, Kevin",SAC,25
171,"Nance, Larry",NOR,31
172,"Kuminga, Jonathan",GSW,21
173,"Finney-Smith, Dorian",BKN,30
174,"Williams, Patrick",CHI,22
175,"Batum, Nicolas",PHI,35
176,"Sochan, Jeremy",SAS,20
177,"Stewart, Isaiah",DET,22
178,"Thompson, Ausar",DET,20
179,"Hauser, Sam",BOS,26
180,"Brown, Bruce",TOR,27
Rank,Player,team,age
181,"Kennard, Luke",MEM,27
182,"Podziemski, Brandin",GSW,20
183,"Fontecchio, Simone",DET,28
184,"Hendricks, Taylor",UTA,20
185,"Clarke, Brandon",MEM,27
186,"Sharpe, Shaedon",POR,20
187,"Robinson, Mitchell",NYK,25
188,"Wallace, Cason",OKC,20
189,"Bagley, Marvin",WAS,24
190,"Kornet, Luke",BOS,28
191,"Brooks, Dillon",HOU,27
192,"Barnes, Harrison",SAC,31
193,"Barrett, R.J.",TOR,23
194,"Smith, Jalen",IND,23
195,"Richardson, Josh",MIA,30
Rank,Player,team,age
196,"Pritchard, Payton",BOS,25
197,"McDaniels, Jaden",MIN,23
198,"Anthony, Cole",ORL,23
199,"Hardaway Jr, Tim",DAL,31
200,"Alexander-Walker, Nickeil",MIN,25
201,"Dunn, Kris",UTA,29
202,"Pereira, Maozinha",MEM,23
203,"Jackson, Isaiah",IND,21
204,"Dinwiddie, Spencer",LAL,30
205,"Wade, Dean",CLE,27
206,"Okoro, Isaac",CLE,22
207,"Drummond, Andre",CHI,30
208,"Martin, Caleb",MIA,28
209,"Prince, Taurean",LAL,29
210,"Kispert, Corey",WAS,24
Rank,Player,team,age
211,"Nembhard, Andrew",IND,23
212,"Jackson-Davis, Trayce",GSW,23
213,"Smith Jr., Dennis",BKN,26
214,"Westbrook, Russell",LAC,35
215,"Williams, Grant",CHA,25
216,"Wiggins, Andrew",GSW,28
217,"Porter, Jontay",TOR,24
218,"Wright, Delon",MIA,31
219,"Clarkson, Jordan",UTA,31
220,"Camara, Toumani",POR,23
221,"Wagner, Moritz",ORL,26
222,"Jemison, Trey",MEM,24
223,"Ellis, Keon",SAC,23
224,"Gray, RaiQuan",SAS,24
225,"Martin, Cody",CHA,28
Rank,Player,team,age
226,"Mann, Terance",LAC,27
227,"Joe, Isaiah",OKC,24
228,"Achiuwa, Precious",NYK,24
229,"Collins, Zach",SAS,26
230,"Alvarado, Jose",NOR,25
231,"Jackson, G.G.",MEM,19
232,"Anderson, Kyle",MIN,30
233,"Highsmith, Haywood",MIA,27
234,"Love, Kevin",MIA,35
235,"Vanderbilt, Jarred",LAL,24
236,"LaRavia, Jake",MEM,22
237,"McBride, Miles",NYK,23
238,"Mathurin, Bennedict",IND,21
239,"Bitadze, Goga",ORL,24
240,"Coulibaly, Bilal",WAS,19
Rank,Player,team,age
241,"Metu, Chimezie",DET,26
242,"Jones, Derrick",DAL,26
243,"Harris, Gary",ORL,29
244,"Horton-Tucker, Talen",UTA,23
245,"Green, Josh",DAL,23
246,"Gueye, Mouhamed",ATL,21
247,"Walker, Jabari",POR,21
248,"Queta, Neemias",BOS,24
249,"Smith, Dru",MIA,26
250,"Bazley, Darius",UTA,23
251,"Nowell, Markquis",TOR,24
252,"Champagnie, Julian",SAS,22
253,"Reath, Duop",POR,27
254,"Payton II, Gary",GSW,31
255,"Hayes, Killian",DET,22
Rank,Player,team,age
256,"Fultz, Markelle",ORL,25
257,"Jovic, Nikola",MIA,20
258,"Hayward, Gordon",OKC,33
259,"Champagnie, Justin",WAS,22
260,"Wiggins, Aaron",OKC,24
261,"Saric, Dario",GSW,29
262,"Ivey, Jaden",DET,21
263,"Theis, Daniel",LAC,31
264,"Beverley, Patrick",MIL,35
265,"Marshall, Naji",NOR,25
266,"Krejci, Vit",ATL,23
267,"Tillman, Xavier",BOS,24
268,"Moody, Moses",GSW,21
269,"Bogdanovic, Bojan",NYK,34
270,"Crowder, Jae",MIL,33
Rank,Player,team,age
271,"Watson, Peyton",DEN,21
272,"Whitmore, Cam",HOU,19
273,"Craig, Torrey",CHI,33
274,"Bassey, Charles",SAS,23
275,"Wilson, D.J.",PHI,27
276,"Niang, Georges",CLE,30
277,"Goodwin, Jordan",MEM,25
278,"Merrill, Sam",CLE,27
279,"Gilyard, Jacob",BKN,25
280,"Vukcevic, Tristan",WAS,20
281,"Exum, Dante",DAL,28
282,"Bertans, Davis",CHA,31
283,"Ramsey, Jahmi'us",TOR,22
284,"Walker, Lonnie",BKN,25
285,"Bamba, Mohamed",PHI,25
Rank,Player,team,age
286,"Coffey, Amir",LAC,26
287,"Sasser, Marcus",DET,23
288,"Connaughton, Pat",MIL,30
289,"Eubanks, Drew",PHO,26
290,"Jackson, Reggie",DEN,33
291,"Duke, David",SAS,24
292,"Burks, Alec",NYK,32
293,"Lyles, Trey",SAC,28
294,"Looney, Kevon",GSW,27
295,"Braun, Christian",DEN,22
296,"Stevens, Lamar",MEM,26
297,"Payne, Cameron",PHI,29
298,"Bol, Bol",PHO,24
299,"Dowtin, Jeff",PHI,26
300,"Butler, Jared",WAS,23
Rank,Player,team,age
301,"Reddish, Cam",LAL,24
302,"Sharpe, Day'Ron",BKN,22
303,"Murray, Kris",POR,23
304,"Osman, Cedi",SAS,28
305,"George, Keyonte",UTA,20
306,"Clowney, Noah",BKN,19
307,"Fournier, Evan",DET,31
308,"Banton, Dalano",POR,24
309,"Kleber, Maxi",DAL,31
310,"Holiday, Aaron",HOU,27
311,"Grimes, Quentin",DET,23
312,"Williams, Ziaire",MEM,22
313,"Williams, Jaylin",OKC,21
314,"Bryant, Thomas",MIA,26
315,"Boucher, Chris",TOR,30
Rank,Player,team,age
316,"Young, Thaddeus",PHO,35
317,"Ingles, Joe",ORL,36
318,"Morris, Monte",MIN,28
319,"Okogie, Josh",PHO,25
320,"Wiseman, James",DET,22
321,"Dick, Gradey",TOR,20
322,"Simpson, Zavier",MEM,26
323,"Wood, Christian",LAL,28
324,"Williams, Kenrich",OKC,29
325,"Landale, Jock",HOU,27
326,"Holiday, Justin",DEN,34
327,"McLaughlin, Jordan",MIN,27
328,"Knox, Kevin",DET,24
329,"Fernando, Bruno",ATL,25
330,"Freeman-Liberty, Javon",TOR,24
Rank,Player,team,age
331,"Nwora, Jordan",TOR,25
332,"Shamet, Landry",WAS,26
333,"Bolden, Marques",CHA,25
334,"Agbaji, Ochai",TOR,23
335,"Pokusevski, Aleksej",CHA,22
336,"Vezenkov, Aleksandar",SAC,28
337,"Henderson, Scoot",POR,19
338,"Peterson, Drew",BOS,24
339,"Watford, Trendon",BKN,23
340,"Tate, Jae'sean",HOU,28
341,"Umude, Stanley",DET,24
342,"Evbuomwan, Tosan",DET,22
343,"Holmes, Richaun",WAS,30
344,"Rhoden, Jared",DET,24
345,"Johnson, Keon",BKN,21
Rank,Player,team,age
346,"Hyland, Bones",LAC,23
347,"Powell, Dwight",DAL,32
348,"Morris, Marcus",CLE,34
349,"Barlow, Dominick",SAS,20
350,"Rose, Derrick",MEM,35
351,"Branham, Malaki",SAS,20
352,"Baldwin, Patrick",WAS,21
353,"Plumlee, Mason",LAC,33
354,"Hayes, Jaxson",LAL,23
355,"Curry, Seth",CHA,33
356,"Cissoko, Sidy",SAS,19
357,"Sheppard, Ben",IND,22
358,"Micic, Vasilije",CHA,29
359,"Hawkins, Jordan",NOR,21
360,"Porter Jr., Craig",CLE,23
Rank,Player,team,age
361,"Bates-Diop, Keita",BKN,27
362,"Hagans, Ashton",POR,24
363,"Juzang, Johnny",UTA,22
364,"Biyombo, Bismack",OKC,31
365,"Rollins, Ryan",MIL,21
366,"Walker, Jarace",IND,20
367,"Mathews, Garrison",ATL,27
368,"Green, Jeff",HOU,37
369,"Gallinari, Danilo",MIL,35
370,"Sensabaugh, Brice",UTA,20
371,"Tucker, PJ",LAC,38
372,"Springer, Jaden",BOS,21
373,"Porter Jr, Otto",TOR,30
374,"Potter, Micah",UTA,25
375,"Carter, Jevon",CHI,28
Rank,Player,team,age
376,"Hurt, Matthew",MEM,23
377,"Flynn, Malachi",DET,25
378,"Diallo, Hamidou",WAS,25
379,"Wilson, Jalen",BKN,23
380,"Mays, Skylar",LAL,26
381,"Omoruyi, Eugene",WAS,26
382,"Yurtseven, Omer",UTA,25
383,"Brown, Troy",DET,24
384,"Black, Leaky",CHA,24
385,"Mills, Patrick",MIA,35
386,"Mamukelashvili, Sandro",SAS,24
387,"Matthews, Wesley",ATL,37
388,"Graham, Devonte'",SAS,28
389,"Jarreau, DeJon",MEM,25
390,"Len, Alex",SAC,30
Rank,Player,team,age
391,"Ryan, Matt",NOR,26
392,"Roddy, David",PHO,22
393,"Christie, Max",LAL,20
394,"McDermott, Doug",IND,31
395,"Nowell, Jaylen",DET,24
396,"Duarte, Chris",SAC,26
397,"Livers, Isaiah",DET,25
398,"Sims, Jericho",NYK,25
399,"Santos, Gui",GSW,21
400,"McGowens, Bryce",CHA,21
401,"Black, Anthony",ORL,19
402,"Green, AJ",MIL,24
403,"Houstan, Caleb",ORL,20
404,"Hardy, Jaden",DAL,21
405,"White, Jack",MEM,26
Rank,Player,team,age
406,"Waters, Lindy",OKC,26
407,"Queen, Trevelin",ORL,26
408,"House, Danuel",PHI,30
409,"Wesley, Blake",SAS,20
410,"Mitchell, Davion",SAC,25
411,"Walsh, Jordan",BOS,19
412,"Terry, Dalen",CHI,21
413,"Gillespie, Collin",DEN,24
414,"Thor, J.T.",CHA,21
415,"Nnaji, Zeke",DEN,22
416,"Mykhailiuk, Sviatoslav",BOS,26
417,"Beauchamp, MarJon",MIL,23
418,"Temple, Garrett",TOR,37
419,"Little, Nassir",PHO,23
420,"Cain, Jamal",MIA,24
Rank,Player,team,age
421,"Vincent, Gabe",LAL,27
422,"Dieng, Ousmane",OKC,20
423,"Jones, Damian",CLE,28
424,"Milton, Shake",NYK,124
425,"Smith, Ishmael",CHA,35
426,"Warren, TJ",MIN,30
427,"McGee, JaVale",SAC,35
428,"Smith Jr., Nick",CHA,19
429,"Bufkin, Kobe",ATL,20
430,"Gill, Anthony",WAS,31
431,"Martin Jr., Kenyon",PHI,22
432,"Preston, Jason",UTA,24
433,"Bullock, Reggie",HOU,32
434,"Tshiebwe, Oscar",IND,24
435,"Robinson, Orlando",MIA,23
Rank,Player,team,age
436,"Badji, Ibou",POR,21
437,"Williams, Malik",TOR,25
438,"Drell, Henri",CHI,23
439,"Mensah, Nathan",CHA,25
440,"Jackson Jr., Andre",MIL,22
441,"Seabron, Dereon",NOR,23
442,"Council IV, Ricky",PHI,22
443,"Strawther, Julian",DEN,21
444,"Lofton Jr., Kenny",UTA,21
445,"Allen, Timmy",MEM,23
446,"Diabate, Moussa",LAC,21
447,"Jackson, Quenton",IND,25
448,"Jordan, DeAndre",DEN,35
449,"Robinson-Earl, Jeremiah",NOR,23
450,"Hinton, Nate",HOU,24
Rank,Player,team,age
451,"Smith, Terquavion",PHI,21
452,"Rupert, Rayan",POR,19
453,"Windler, Dylan",ATL,27
454,"Wainright, Ishmail",PHO,29
455,"Davis, Johnny",WAS,21
456,"Brissett, OShae",BOS,25
457,"Brown, Kobe",LAC,24
458,"Quinones, Lester",GSW,23
459,"Gibson, Taj",DET,38
460,"Korkmaz, Furkan",PHI,26
461,"Forrest, Trent",ATL,25
462,"Muscala, Mike",OKC,32
463,"Moore, Taze",POR,25
464,"Fudge, Alex",DAL,20
465,"Gueye, Mouhamadou",TOR,25
Rank,Player,team,age
466,"Sarr, Olivier",OKC,24
467,"Watanabe, Yuta",MEM,29
468,"Davison, J.D.",BOS,21
469,"Bouknight, James",CHA,23
470,"Minaya, Justin",POR,24
471,"Johnson, James",IND,36
472,"Boston Jr., Brandon",LAC,22
473,"Lewis, Kira",UTA,22
474,"Miller, Leonard",MIN,20
475,"Bernard, Jules",WAS,23
476,"Lee, Saben",PHO,24
477,"Okeke, Chuma",ORL,25
478,"Jones, Mason",SAC,25
479,"Brooks, Armoni",BKN,25
480,"Morris, Markieff",DAL,34
Rank,Player,team,age
481,"Harris, Joe",DET,32
482,"Samuels, Jermaine",HOU,25
483,"Joseph, Cory",GSW,32
484,"Garza, Luka",MIN,25
485,"Prosper, Olivier-Maxence",DAL,21
486,"Lawson, A.J.",DAL,23
487,"Thompson, Tristan",CLE,32
488,"Edwards, Kessler",SAC,23
489,"Zeller, Cody",NOR,31
490,"Green, Danny",PHI,36
491,"Moon, Xavier",LAC,28
492,"Minott, Josh",MIN,21
493,"Huff, Jay",DEN,25
494,"Sanogo, Adama",CHI,21
495,"McDaniels, Jalen",TOR,25
Rank,Player,team,age
496,"Bitim, Onuralp",CHI,24
497,"Carton, D.J.",TOR,23
498,"Boeheim, Buddy",DET,24
499,"Phillips, Julian",CHI,20
500,"Taylor, Terry",CHI,24
501,"Samanic, Luka",UTA,23
502,"Marjanovic, Boban",HOU,35
503,"Maledon, Theo",PHO,22
504,"Jones, Colby",SAC,21
505,"Mobley, Isaiah",CLE,23
506,"Williams Jr., Jeenathan",HOU,24
507,"Diakite, Mamadi",NYK,26
508,"Bailey, Amari",CHA,19
509,"Castleton, Colin",LAL,23
510,"Toppin, Jacob",NYK,23
Rank,Player,team,age
511,"Pickett, Jalen",DEN,24
512,"Ford, Jordan",SAC,25
513,"Liddell, E.J.",NOR,23
514,"Dennis, Dexter",DAL,24
515,"Harrison, Shaquille",MEM,30
516,"Key, Braxton",DEN,26
517,"Moore, Wendell",MIN,22
518,"Washington, TyTy",MIL,22
519,"Nix, Daishen",MIN,21
520,"Hodge, D'Moi",LAL,25
521,"Brockington, Izaiah",NOR,24
522,"Garuba, Usman",GSW,21
523,"Lopez, Robin",MIL,35
524,"Miller, Jordan",LAC,23
525,"Antetokounmpo, Thanasis",MIL,31
Rank,Player,team,age
526,"Slawson, Jalen",SAC,24
527,"Giles, Harry",LAL,25
528,"Livingston, Chris",MIL,20
529,"Harris, Kevon",ORL,26
530,"Swider, Cole",MIA,24
531,"Toscano, Juan",SAC,30
532,"Howard, Jett",ORL,20
533,"Azubuike, Udoka",PHO,24
534,"Jerome, Ty",CLE,26
535,"Whitehead, Dariq",BKN,19
536,"Spencer, Pat",GSW,27
537,"Tyson, Hunter",DEN,23
538,"Brown, Moses",POR,24
539,"Harper Jr., Ron",TOR,23
540,"Funk, Andrew",CHI,24
Rank,Player,team,age
541,"Griffin, A.J.",ATL,20
542,"Bouyea, Jamaree",SAS,24
543,"Thomas, Isaiah",PHO,34
544,"Schofield, Admiral",ORL,26
545,"Johnson, Keyontae",OKC,23
546,"Ntilikina, Frank",CHA,25
547,"Arcidiacono, Ryan",NYK,29
548,"Robinson, Jerome",GSW,26
549,"Bates, Emoni",CLE,19
550,"Wigginton, Lindell",MIL,25
551,"Williams, Brandon",DAL,24
552,"Brown, Charlie",NYK,25
553,"Brown, Kendall",IND,20
554,"Smart, Ja'Vonte",PHI,24
555,"Jackson, Justin",MIN,28
Rank,Player,team,age
556,"Cazalon, Malcolm",DET,22
557,"Lundy, Seth",ATL,23
558,"Brown, Greg",DAL,22
559,"Flagler, Adam",OKC,24
560,"Jeffries, DaQuan",NYK,26
561,"Hampton, R.J.",MIA,22
562,"Williams, Alondes",MIA,24
563,"Lewis, Maxwell",LAL,21
564,"Wong, Isaiah",IND,22
565,"Skapintsev, Dmytro",NYK,25
566,"Petrusev, Filip",SAC,23
567,"Nance, Pete",CLE,23
568,"Gabriel, Wenyen",MEM,26
569,"Hood-Schifino, Jalen",LAL,20
570,"Crutcher, Jalen",NOR,24
Rank,Player,team,age
571,"Primo, Joshua",LAC,21
572,"Gates, Kaiser",NOR,27
