Rank,Player,team,age
1,"Embiid, Joel",PHI,29
2,"Gilgeous-Alexander, Shai",OKC,25
3,"Jokic, Nikola",DEN,28
4,"Davis, Anthony",LAL,30
5,"Doncic, Luka",DAL,24
6,"Leonard, Kawhi",LAC,32
7,"Wembanyama, Victor",SAS,19
8,"Mitchell, Donovan",CLE,27
9,"Irving, Kyrie",DAL,31
10,"Haliburton, Tyrese",IND,23
11,"George, Paul",LAC,33
12,"Durant, Kevin",PHO,35
13,"Markkanen, Lauri",UTA,26
14,"Porzingis, Kristaps",BOS,28
15,"Tatum, Jayson",BOS,25
Rank,Player,team,age
16,"Booker, Devin",PHO,27
17,"Vanvleet, Fred",HOU,29
18,"James, LeBron",LAL,39
19,"Maxey, Tyrese",PHI,23
20,"Holmgren, Chet",OKC,21
21,"Barnes, Scottie",TOR,22
22,"Curry, Stephen",GSW,35
23,"Ball, LaMelo",CHA,22
24,"Fox, De'Aaron",SAC,26
25,"Lillard, Damian",MIL,33
26,"Harden, James",LAC,34
27,"White, Derrick",BOS,29
28,"Butler, Jimmy",MIA,34
29,"Brunson, Jalen",NYK,27
30,"Sabonis, Domantas",SAC,27
Rank,Player,team,age
31,"DeRozan, DeMar",CHI,34
32,"Murray, Jamal",DEN,26
33,"Bane, Desmond",MEM,25
34,"Antetokounmpo, Giannis",MIL,29
35,"McCollum, CJ",NOR,32
36,"Young, Trae",ATL,25
37,"Edwards, Anthony",MIN,22
38,"Murray, Dejounte",ATL,27
39,"Gafford, Daniel",DAL,25
40,"Ayton, Deandre",POR,25
41,"Williams, Jalen",OKC,22
42,"Mobley, Evan",CLE,22
43,"Johnson, Jalen",ATL,22
44,"Towns, Karl-Anthony",MIN,28
45,"Allen, Jarrett",CLE,25
Rank,Player,team,age
46,"Lopez, Brook",MIL,35
47,"Green, Javonte",CHI,30
48,"Harris, Tobias",PHI,31
49,"Vucevic, Nikola",CHI,33
50,"Caruso, Alex",CHI,29
51,"Adebayo, Bam",MIA,26
52,"Gobert, Rudy",MIN,31
53,"Jackson, Jaren",MEM,24
54,"Rozier, Terry",MIA,29
55,"Turner, Myles",IND,27
56,"Morant, Ja",MEM,24
57,"Bridges, Miles",CHA,25
58,"Allen, Grayson",PHO,28
