Rank,Player,team,age
1,"Harden, James",HOU,30
2,"Davis, Anthony",LAL,26
3,"Lillard, Damian",POR,29
4,"Leonard, Kawhi",LAC,28
5,"Towns, Karl-Anthony",MIN,24
6,"Irving, Kyrie",BKN,27
7,"Collins, John",ATL,22
8,"Nurkic, Jusuf",POR,25
9,"Whiteside, Hassan",POR,30
10,"Jokic, Nikola",DEN,24
11,"Beal, Bradley",WAS,26
12,"Butler, Jimmy",MIA,30
13,"Tatum, Jayson",BOS,21
14,"Paul, Chris",OKC,34
15,"Porzingis, Kristaps",DAL,24
Rank,Player,team,age
16,"James, LeBron",LAL,35
17,"Isaac, Jonathan",ORL,22
18,"Vucevic, Nikola",ORL,29
19,"Young, Trae",ATL,21
20,"George, Paul",LAC,29
21,"Lowry, Kyle",TOR,33
22,"Antetokounmpo, Giannis",MIL,25
23,"Embiid, Joel",PHI,25
24,"Capela, Clint",HOU,25
25,"Vanvleet, Fred",TOR,25
26,"Doncic, Luka",DAL,20
27,"Aldridge, LaMarcus",SAS,34
28,"Drummond, Andre",CLE,26
29,"Booker, Devin",PHO,23
30,"Middleton, Khris",MIL,28
Rank,Player,team,age
31,"Curry, Stephen",GSW,31
32,"Ayton, Deandre",PHO,21
33,"Gobert, Rudy",UTA,27
34,"Covington, Robert",HOU,29
35,"Ingram, Brandon",NOR,22
36,"Simmons, Ben",PHI,23
37,"DeRozan, DeMar",SAS,30
38,"LaVine, Zach",CHI,24
39,"Siakam, Pascal",TOR,25
40,"Holiday, Jrue",NOR,29
41,"Warren, TJ",IND,26
42,"Holmes, Richaun",SAC,26
43,"Westbrook, Russell",HOU,31
44,"Adebayo, Bam",MIA,22
45,"Walker, Kemba",BOS,29
Rank,Player,team,age
46,"Valanciunas, Jonas",MEM,27
47,"Hayward, Gordon",BOS,29
48,"Sabonis, Domantas",IND,23
49,"Lopez, Brook",MIL,31
50,"Oubre, Kelly",PHO,24
51,"Robinson, Mitchell",NYK,21
52,"Harris, Tobias",PHI,27
53,"Gilgeous-Alexander, Shai",OKC,21
54,"Mitchell, Donovan",UTA,23
55,"McCollum, CJ",POR,28
56,"Love, Kevin",CLE,31
57,"Murray, Jamal",DEN,22
58,"Turner, Myles",IND,23
59,"Russell, D'Angelo",MIN,23
60,"Bertans, Davis",WAS,27
Rank,Player,team,age
61,"Rubio, Ricky",PHO,29
62,"Smart, Marcus",BOS,25
63,"Jackson, Jaren",MEM,20
64,"Gallinari, Danilo",OKC,31
65,"Powell, Norman",TOR,26
66,"Barton, Will",DEN,28
67,"Bryant, Thomas",WAS,22
68,"Horford, Al",PHI,33
69,"Brown, Jaylen",BOS,23
70,"Anunoby, O.G.",TOR,22
71,"Hield, Buddy",SAC,26
72,"Bjelica, Nemanja",SAC,31
73,"Fournier, Evan",ORL,27
74,"Bridges, Mikal",PHO,23
75,"Ball, Lonzo",NOR,22
Rank,Player,team,age
76,"Murray, Dejounte",SAS,23
77,"Rozier, Terry",CHA,25
78,"Graham, Devonte'",CHA,24
79,"Theis, Daniel",BOS,27
80,"Clarke, Brandon",MEM,23
81,"Allen, Jarrett",BKN,21
82,"Fox, De'Aaron",SAC,22
83,"Noel, Nerlens",OKC,25
84,"Nance, Larry",CLE,27
85,"Brogdon, Malcolm",IND,27
86,"Green, Draymond",GSW,29
87,"Robinson, Duncan",MIA,25
88,"Dunn, Kris",CHI,25
89,"Burks, Alec",PHI,28
90,"Lamb, Jeremy",IND,27
Rank,Player,team,age
91,"Parker, Jabari",SAC,24
92,"Wiggins, Andrew",GSW,24
93,"Crowder, Jae",MIA,29
94,"Favors, Derrick",NOR,28
95,"Bogdanovic, Bogdan",SAC,27
96,"Bledsoe, Eric",MIL,30
97,"Ibaka, Serge",TOR,30
98,"Harrell, Montrezl",LAC,25
99,"Bogdanovic, Bojan",UTA,30
100,"Payne, Cameron",PHO,25
101,"Kennard, Luke",DET,23
102,"Ross, Terrence",ORL,28
103,"Markkanen, Lauri",CHI,22
104,"Adams, Steven",OKC,26
105,"House, Danuel",HOU,26
Rank,Player,team,age
106,"Morris, Marcus",LAC,30
107,"Rose, Derrick",DET,31
108,"Sexton, Collin",CLE,20
109,"Holiday, Justin",IND,30
110,"Huerter, Kevin",ATL,21
111,"White, Derrick",SAS,25
112,"Wood, Christian",DET,24
113,"Millsap, Paul",DEN,34
114,"Tucker, PJ",HOU,34
115,"Schroder, Dennis",OKC,26
116,"Carter, Wendell",CHI,21
117,"Lee, Damion",GSW,27
118,"Cauley-Stein, Willie",DAL,26
119,"Beverley, Patrick",LAC,31
120,"Jordan, DeAndre",BKN,31
Rank,Player,team,age
121,"Ariza, Trevor",POR,34
122,"Gasol, Marc",TOR,34
123,"Robinson III, Glenn",PHI,25
124,"Anthony, Carmelo",POR,35
125,"DiVincenzo, Donte",MIL,22
126,"Payton, Elfrid",NYK,25
127,"Hart, Josh",NOR,24
128,"Kleber, Maxi",DAL,27
129,"Gordon, Aaron",ORL,24
130,"Satoransky, Tomas",CHI,28
131,"Harris, Joe",BKN,28
132,"Chriss, Marquese",GSW,22
133,"Redick, JJ",NOR,35
134,"Hardaway Jr, Tim",DAL,27
135,"Morant, Ja",MEM,20
Rank,Player,team,age
136,"Jones, Derrick",MIA,22
137,"Porter Jr, Otto",CHI,26
138,"Brown, Troy",WAS,20
139,"Ingles, Joe",UTA,32
140,"Randle, Julius",NYK,25
141,"Powell, Dwight",DAL,28
142,"Grant, Jerami",DEN,25
143,"Nunn, Kendrick",MIA,24
144,"Young, Thaddeus",CHI,31
145,"Richardson, Josh",PHI,26
146,"Hood, Rodney",POR,27
147,"Hill, George",MIL,33
148,"Finney-Smith, Dorian",DAL,26
149,"Green, Danny",LAL,32
150,"Dieng, Gorgui",MEM,29
Rank,Player,team,age
151,"Thompson, Tristan",CLE,28
152,"Harris, Gary",DEN,25
153,"ONeale, Royce",UTA,26
154,"Dinwiddie, Spencer",BKN,26
155,"Williams, Lou",LAC,33
156,"Hachimura, Rui",WAS,21
157,"Washington, PJ",CHA,21
158,"Curry, Seth",DAL,29
159,"McGee, JaVale",LAL,31
160,"Bagley, Marvin",SAC,20
161,"Bridges, Miles",CHA,21
162,"Williams, Robert",BOS,22
163,"Wright, Delon",DAL,27
164,"Barnes, Harrison",SAC,27
165,"Smith, Ishmael",WAS,31
Rank,Player,team,age
166,"Clarkson, Jordan",UTA,27
167,"Saric, Dario",PHO,25
168,"Zubac, Ivica",LAC,22
169,"Fultz, Markelle",ORL,21
170,"Brown, Bruce",DET,23
171,"LeVert, Caris",BKN,25
172,"Napier, Shabazz",WAS,28
173,"Dragic, Goran",MIA,33
174,"Poeltl, Jakob",SAS,24
175,"Mills, Patrick",SAS,31
176,"Conley, Mike",UTA,32
177,"Temple, Garrett",BKN,33
178,"Olynyk, Kelly",MIA,28
179,"Gay, Rudy",SAS,33
180,"Brooks, Dillon",MEM,23
Rank,Player,team,age
181,"Herro, Tyler",MIA,19
182,"Galloway, Langston",DET,28
183,"McLaughlin, Jordan",MIN,23
184,"Johnson, James",MIN,32
185,"Johnson, Keldon",SAS,20
186,"Teague, Jeff",ATL,31
187,"Porter, Michael",DEN,21
188,"Prince, Taurean",BKN,25
189,"Thybulle, Matisse",PHI,22
190,"Trent, Gary",POR,20
191,"Zeller, Cody",CHA,27
192,"Williamson, Zion",NOR,19
193,"Johnson, Cameron",PHO,23
194,"Kanter, Enes",BOS,27
195,"Carter-Williams, Michael",ORL,28
Rank,Player,team,age
196,"Baynes, Aron",PHO,33
197,"Morris, Monte",DEN,24
198,"McLemore, Ben",HOU,26
199,"Melton, De'Anthony",MEM,21
200,"Osman, Cedi",CLE,24
201,"Okogie, Josh",MIN,21
202,"Bazemore, Kent",SAC,30
203,"Snell, Tony",DET,28
204,"Bamba, Mohamed",ORL,21
205,"Wagner, Moritz",WAS,22
206,"Paschall, Eric",GSW,23
207,"Jones, Tyus",MEM,23
208,"Reddish, Cam",ATL,20
209,"Mahinmi, Ian",WAS,33
210,"Holiday, Aaron",IND,23
Rank,Player,team,age
211,"Caldwell-Pope, Kentavious",LAL,26
212,"Beasley, Malik",MIN,23
213,"Len, Alex",SAC,26
214,"Boucher, Chris",TOR,26
215,"Augustin, DJ",ORL,32
216,"Anderson, Kyle",MEM,26
217,"Mika, Eric",SAC,24
218,"McConnell, TJ",IND,27
219,"Lyles, Trey",SAS,24
220,"Green, JaMychal",LAC,29
221,"Toscano, Juan",GSW,26
222,"Reid, Naz",MIN,20
223,"Oladipo, Victor",IND,27
224,"Harkless, Maurice",NYK,26
225,"Hunter, De'Andre",ATL,22
Rank,Player,team,age
226,"Wanamaker, Brad",BOS,30
227,"Williams, Marvin",MIL,33
228,"White, Coby",CHI,19
229,"Green, Jeff",HOU,33
230,"Jackson, Reggie",LAC,29
231,"Jones, Damian",ATL,24
232,"Forbes, Bryn",SAS,26
233,"Portis, Bobby",NYK,24
234,"Howard, Dwight",LAL,34
235,"Henson, John",DET,29
236,"Milton, Shake",PHI,120
237,"Batum, Nicolas",CHA,31
238,"Joseph, Cory",SAC,28
239,"Spellman, Omari",GSW,22
240,"Bradley, Avery",LAL,29
Rank,Player,team,age
241,"Mykhailiuk, Sviatoslav",DET,22
242,"Korkmaz, Furkan",PHI,22
243,"Labissiere, Skal",POR,23
244,"McRae, Jordan",DET,28
245,"Bembry, DeAndre'",ATL,25
246,"Gordon, Eric",HOU,31
247,"Morris, Markieff",LAL,30
248,"McDermott, Doug",IND,27
249,"Davis, Terence",TOR,22
250,"Ntilikina, Frank",NYK,21
251,"Kuzma, Kyle",LAL,24
252,"Shamet, Landry",LAC,22
253,"Bullock, Reggie",NYK,28
254,"Bowman, Ky",GSW,22
255,"Hollis-Jefferson, Rondae",TOR,24
Rank,Player,team,age
256,"Collins, Zach",POR,22
257,"Dedmon, Dewayne",ATL,30
258,"Iguodala, Andre",MIA,35
259,"Payton II, Gary",WAS,27
260,"Jackson, Josh",MEM,22
261,"Carter, Jevon",PHO,24
262,"Porter, Kevin",CLE,19
263,"Caruso, Alex",LAL,25
264,"Ilyasova, Ersan",MIL,32
