Rank,Player,team,age
265,"Layman, Jake",MIN,25
266,"Rivers, Austin",HOU,27
267,"Gibson, Taj",NYK,34
268,"Hayes, Jaxson",NOR,19
269,"Martin, Caleb",CHA,24
270,"McCaw, Patrick",TOR,24
Rank,Player,team,age
271,"Leonard, Meyers",MIA,27
272,"Giles, Harry",SAC,21
273,"Martin, Jeremiah",BKN,23
274,"Connaughton, Pat",MIL,26
275,"Harrison, Shaquille",CHI,26
276,"Waiters, Dion",LAL,28
277,"Rondo, Rajon",LAL,33
278,"Melli, Nicolo",NOR,28
279,"Bonga, Isaac",WAS,20
280,"Horton-Tucker, Talen",LAL,19
281,"Plumlee, Mason",DEN,29
282,"Mulder, Mychal",GSW,25
283,"Matthews, Wesley",MIL,33
284,"Craig, Torrey",DEN,29
285,"Monk, Malik",CHA,21
Rank,Player,team,age
286,"Bradley, Tony",UTA,21
287,"Kaminsky, Frank",PHO,26
288,"Korver, Kyle",MIL,38
289,"Bol, Bol",DEN,20
290,"Gafford, Daniel",CHI,21
291,"Hill, Solomon",MIA,28
292,"Miles, CJ",WAS,32
293,"Okafor, Jahlil",NOR,24
294,"Ennis, James",ORL,29
295,"Valentine, Denzel",CHI,26
296,"Chandler, Wilson",BKN,32
297,"Winslow, Justise",MIA,23
298,"Garland, Darius",CLE,19
299,"Lee, Courtney",DAL,34
300,"Nwaba, David",BKN,26
Rank,Player,team,age
301,"Brunson, Jalen",DAL,23
302,"Kornet, Luke",CHI,24
303,"Burke, Trey",DAL,27
304,"Bender, Dragan",GSW,22
305,"Chiozza, Chris",BKN,24
306,"McDaniels, Jalen",CHA,21
307,"Williams, Kenrich",NOR,25
308,"Eubanks, Drew",SAS,22
309,"Allen, Grayson",MEM,24
310,"Thomas, Isaiah",WAS,30
311,"Dort, Luguentz",OKC,20
312,"Moore, E'Twaun",NOR,30
313,"Hartenstein, Isaiah",HOU,21
314,"Luwawu-Cabarrot, Timothe",BKN,24
315,"Bates-Diop, Keita",DEN,23
Rank,Player,team,age
316,"O'Quinn, Kyle",PHI,29
317,"Scott, Mike",PHI,31
318,"Marjanovic, Boban",DAL,31
319,"Biyombo, Bismack",CHA,27
320,"Thornwell, Sindarius",NOR,25
321,"Aminu, Al-Farouq",ORL,29
322,"Bazley, Darius",OKC,19
323,"Hezonja, Mario",POR,24
324,"Culver, Jarrett",MIN,20
325,"Martin, Cody",CHA,24
326,"Mathews, Garrison",WAS,23
327,"Iwundu, Wesley",ORL,25
328,"Sampson, Jakarr",IND,26
329,"Felicio, Cristiano",CHI,27
330,"Hutchison, Chandler",CHI,23
Rank,Player,team,age
331,"Johnson, Tyler",BKN,27
332,"Griffin, Blake",DET,30
333,"Dotson, Damyean",NYK,25
334,"Nader, Abdel",OKC,26
335,"Cacok, Devontae",LAL,23
336,"Birch, Khem",ORL,27
337,"Brown, Sterling",MIL,24
338,"Martin, Kelan",MIN,24
339,"Barrett, R.J.",NYK,19
340,"Clark, Gary",ORL,25
341,"Diallo, Hamidou",OKC,21
342,"Konchar, John",MEM,23
343,"Barea, JJ",DAL,35
344,"Broekhoff, Ryan",DAL,29
345,"Niang, Georges",UTA,26
Rank,Player,team,age
346,"Walker, Lonnie",SAS,21
347,"Bolden, Marques",CLE,21
348,"Simons, Anfernee",POR,20
349,"Diallo, Cheick",PHO,23
350,"Caboclo, Bruno",HOU,24
351,"Muscala, Mike",OKC,28
352,"Maker, Thon",DET,22
353,"Mudiay, Emmanuel",UTA,23
354,"Crawford, Jamal",BKN,39
355,"Poole, Jordan",GSW,20
356,"Hernangomez, Juan",MIN,24
357,"Arcidiacono, Ryan",CHI,25
358,"Pelle, Norvel",PHI,26
359,"Williams, Grant",BOS,21
360,"Dozier, P.J.",DEN,23
Rank,Player,team,age
361,"Carter, Vince",ATL,42
362,"Ellington, Wayne",NYK,32
363,"Goodwin, Brandon",ATL,24
364,"Shumpert, Iman",BKN,29
365,"Vonleh, Noah",DEN,24
366,"Hall, Donta",BKN,22
367,"Mason III, Frank",MIL,25
368,"Sefolosha, Thabo",HOU,35
369,"Zizic, Ante",CLE,22
370,"Neto, Raul",PHI,27
371,"Kurucs, Rodions",BKN,21
372,"Thomas, Matt",TOR,25
373,"Looney, Kevon",GSW,23
374,"Belinelli, Marco",SAS,33
375,"Jackson, Justin",DAL,24
Rank,Player,team,age
376,"McKinnie, Alfonzo",CLE,27
377,"Samanic, Luka",SAS,19
378,"Hernangomez, Guillermo",CHA,25
379,"Pargo, Jeremy",GSW,33
380,"Patterson, Patrick",LAC,30
381,"Robinson, Jerome",WAS,22
382,"Tolliver, Anthony",MEM,34
383,"Ferguson, Terrance",OKC,21
384,"Williams, Johnathan",WAS,24
385,"Parsons, Chandler",ATL,31
386,"Knox, Kevin",NYK,20
387,"Fernando, Bruno",ATL,21
388,"Fall, Tacko",BOS,24
389,"Lopez, Robin",MIL,31
390,"Jeffries, DaQuan",SAC,22
Rank,Player,team,age
391,"Doumbouya, Sekou",DET,19
392,"Ojeleye, Semi",BOS,25
393,"Sumner, Edmond",IND,24
394,"Crabbe, Allen",MIN,27
395,"Pasecniks, Anzejs",WAS,24
396,"Clemons, Chris",HOU,22
397,"Exum, Dante",CLE,24
398,"Allen, Kadeem",NYK,26
399,"Davis, Ed",UTA,30
400,"Green, Javonte",BOS,26
401,"Bitadze, Goga",IND,20
402,"Oni, Miye",UTA,22
403,"Smailagic, Alen",GSW,19
404,"Frazier, Tim",DET,29
405,"Okobo, Elie",PHO,22
Rank,Player,team,age
406,"Hannahs, Dusty",MEM,26
407,"McGruder, Rodney",LAC,28
408,"Ferrell, Yogi",SAC,26
409,"Trier, Allonzo",NYK,23
410,"Brantley, Jarrell",UTA,23
411,"Anderson, Ryan",HOU,31
412,"Watson, Paul",TOR,25
413,"Waters, Tremont",BOS,21
414,"Knight, Brandon",DET,28
415,"Silva, Chris",MIA,23
416,"Kabengele, Mfiondu",LAC,22
417,"Cheatham, Zylan",NOR,24
418,"Randle, Chasson",GSW,26
419,"Turner, Evan",ATL,31
420,"Graham, Treveon",ATL,26
Rank,Player,team,age
421,"Alexander-Walker, Nickeil",NOR,21
422,"Claxton, Nicolas",BKN,20
423,"Guduric, Marko",MEM,24
424,"Dellavedova, Matthew",CLE,29
425,"Little, Nassir",POR,19
426,"Evans, Jacob",MIN,22
427,"Metu, Chimezie",SAS,22
428,"Jerome, Ty",PHO,22
429,"Cook, Quinn",LAL,26
430,"Wade, Dean",CLE,23
431,"Dudley, Jared",LAL,34
432,"Jackson, Frank",NOR,21
433,"Nowell, Jaylen",MIN,20
434,"Daniels, Troy",DEN,28
435,"Poirier, Vincent",BOS,26
Rank,Player,team,age
436,"Wright-Foreman, Justin",UTA,22
437,"Chandler, Tyson",HOU,37
438,"Roberson, Andre",OKC,28
439,"Frazier, Melvin",ORL,23
440,"Mooney, Matt",CLE,24
441,"Ponds, Shamorie",TOR,21
442,"Bacon, Dwayne",CHA,24
443,"Brewer, Corey",SAC,33
444,"Walton Jr., Derrick",DET,30
445,"Schofield, Admiral",WAS,22
446,"Mann, Terance",LAC,23
447,"Carroll, DeMarre",HOU,33
448,"Leaf, T.J.",IND,22
449,"Mokoka, Adam",CHI,21
450,"Gabriel, Wenyen",POR,22
Rank,Player,team,age
451,"Pinson, Theo",BKN,24
452,"Smith Jr., Dennis",NYK,22
453,"Okpala, KZ",MIA,20
454,"Musa, Dzanan",BKN,20
455,"Noah, Joakim",LAC,34
456,"Hoard, Jaylen",POR,20
457,"Long, Naz",IND,26
458,"Bell, Jordan",MEM,24
459,"Johnson, Alize",IND,23
460,"Edwards, Carsen",BOS,21
461,"Cook, Tyler",DEN,22
462,"Wilson, D.J.",MIL,23
463,"Haslem, Udonis",MIA,39
464,"Motley, Johnathan",LAC,24
465,"Swanigan, Caleb",POR,22
Rank,Player,team,age
466,"Uthoff, Jarrod",WAS,26
467,"Grant, Jerian",WAS,27
468,"Coffey, Amir",LAC,22
469,"Chealey, Joe",CHA,24
470,"Strus, Max",CHI,23
471,"Norvell Jr., Zach",GSW,22
472,"Bolden, Jonah",PHO,23
473,"Vincent, Gabe",MIA,23
474,"Williams-Goss, Nigel",UTA,25
475,"Anderson, Justin",BKN,26
476,"Brown, Charlie",ATL,21
477,"Langford, Romeo",BOS,20
478,"Morgan, Juwan",UTA,22
479,"Kidd-Gilchrist, Michael",DAL,26
480,"Mbah a Moute, Luc",HOU,33
Rank,Player,team,age
481,"James, Justin",SAC,22
482,"Owens, Tariq",PHO,24
483,"Brissett, OShae",TOR,21
484,"Johnson, Stanley",TOR,23
485,"Tucker, Rayjon",UTA,22
486,"Vanderbilt, Jarred",MIN,20
487,"Johnson, B.J.",ORL,24
488,"Wallace, Ty",ATL,25
489,"Watanabe, Yuta",MEM,25
490,"Burton, Deonte",OKC,28
491,"Thomas, Lance",BKN,31
492,"Miller, Malcolm",TOR,26
493,"Antetokounmpo, Thanasis",MIL,27
494,"Magette, Josh",ORL,30
495,"Weatherspoon, Quinndary",SAS,23
Rank,Player,team,age
496,"Robinson, Justin",WAS,24
497,"Hervey, Kevin",OKC,23
498,"Cancar, Vlatko",DEN,22
499,"Reaves, Josh",DAL,22
500,"Thomas, Khyri",DET,23
501,"Hernandez, Dewan",TOR,23
502,"King, Louis",DET,20
503,"Antetokounmpo, Kostas",LAL,22
504,"Patton, Justin",OKC,22
505,"Cleveland, Antonius",DAL,25
506,"Hall, Devon",OKC,24
507,"Guy, Kyle",SAC,22
508,"Smith, Zhaire",PHI,20
509,"Bowen II, Brian",IND,21
510,"Bone, Jordan",DET,22
Rank,Player,team,age
511,"Lecque, Jalen",PHO,19
512,"Zeller, Tyler",SAS,29
513,"Alexander, Kyle",MIA,23
514,"Smith, JR",LAL,34
515,"Shayok, Marial",PHI,24
516,"Law, Vic",ORL,24
517,"Brazdeikis, Ignas",NYK,20
518,"Macura, J.P.",CLE,24
519,"Ellenson, Henry",BKN,22
520,"Jefferson, Amile",ORL,26
521,"Brown, Moses",POR,20
522,"Macon, Daryl",MIA,24
523,"Frazier, Michael",HOU,25
524,"Harper, Jared",PHO,22
525,"Roby, Isaiah",OKC,21
Rank,Player,team,age
526,"Kidd, Stanton",UTA,27
527,"Newman, Malik",CLE,22
528,"Howard, William",HOU,26
529,"Gray, Josh",NOR,26
