Rank,Player,team,age
1,"Harden, James",HOU,29
2,"Davis, Anthony",NOR,25
3,"George, Paul",OKC,28
4,"Curry, Stephen",GSW,30
5,"Towns, Karl-Anthony",MIN,23
6,"Antetokounmpo, Giannis",MIL,24
7,"Leonard, Kawhi",TOR,27
8,"Durant, Kevin",GSW,30
9,"Irving, Kyrie",BOS,26
10,"Embiid, Joel",PHI,24
11,"Vucevic, Nikola",ORL,28
12,"Lillard, Damian",POR,28
13,"Jokic, Nikola",DEN,23
14,"Beal, Bradley",WAS,25
15,"Butler, Jimmy",PHI,29
Rank,Player,team,age
16,"Covington, Robert",MIN,28
17,"Gobert, Rudy",UTA,26
18,"Drummond, Andre",DET,25
19,"Sampson, Jakarr",CHI,25
20,"Walker, Kemba",CHA,28
21,"Paul, Chris",HOU,33
22,"Holiday, Jrue",NOR,28
23,"Capela, Clint",HOU,24
24,"James, LeBron",LAL,34
25,"Aldridge, LaMarcus",SAS,33
26,"Turner, Myles",IND,22
27,"Conley, Mike",MEM,31
28,"Gallinari, Danilo",LAC,30
29,"Horford, Al",BOS,32
30,"Thompson, Klay",GSW,28
Rank,Player,team,age
31,"Lopez, Brook",MIL,30
32,"Westbrook, Russell",OKC,30
33,"Ayton, Deandre",PHO,20
34,"Cousins, DeMarcus",GSW,28
35,"Harris, Tobias",PHI,26
36,"Lowry, Kyle",TOR,32
37,"Nurkic, Jusuf",POR,24
38,"Hield, Buddy",SAC,25
39,"Porter Jr, Otto",CHI,25
40,"Markkanen, Lauri",CHI,21
41,"Siakam, Pascal",TOR,24
42,"Booker, Devin",PHO,22
43,"Bledsoe, Eric",MIL,29
44,"Warren, TJ",PHO,25
45,"DeRozan, DeMar",SAS,29
Rank,Player,team,age
46,"Gasol, Marc",TOR,33
47,"Robinson, Mitchell",NYK,20
48,"Dedmon, Dewayne",ATL,29
49,"Collins, John",ATL,21
50,"Mirotic, Nikola",MIL,27
51,"Hunter, RJ",BOS,25
52,"McGee, JaVale",LAL,30
53,"Oladipo, Victor",IND,26
54,"Lamb, Jeremy",CHA,26
55,"Nance, Larry",CLE,26
56,"Mitchell, Donovan",UTA,22
57,"Russell, D'Angelo",BKN,22
58,"Green, Draymond",GSW,28
59,"Tatum, Jayson",BOS,20
60,"McCollum, CJ",POR,27
Rank,Player,team,age
61,"LaVine, Zach",CHI,23
62,"Ibaka, Serge",TOR,29
63,"Middleton, Khris",MIL,27
64,"Brogdon, Malcolm",MIL,26
65,"Griffin, Blake",DET,29
66,"Jordan, DeAndre",NYK,30
67,"Richardson, Josh",MIA,25
68,"Love, Kevin",CLE,30
69,"Young, Thaddeus",IND,30
70,"Fox, De'Aaron",SAC,21
71,"Simmons, Ben",PHI,22
72,"Harrell, Montrezl",LAC,24
73,"Wall, John",WAS,28
74,"Grant, Jerami",OKC,24
75,"Favors, Derrick",UTA,27
Rank,Player,team,age
76,"Valanciunas, Jonas",MEM,26
77,"Murray, Jamal",DEN,21
78,"Collison, Darren",IND,31
79,"Randle, Julius",NOR,24
80,"Adams, Steven",OKC,25
81,"Millsap, Paul",DEN,33
82,"Allen, Jarrett",BKN,20
83,"Green, Danny",TOR,31
84,"Smart, Marcus",BOS,24
85,"Gay, Rudy",SAS,32
86,"Ariza, Trevor",WAS,33
87,"Oubre, Kelly",PHO,23
88,"Tucker, PJ",HOU,33
89,"Jackson, Jaren",MEM,19
90,"Redick, JJ",PHI,34
Rank,Player,team,age
91,"Ross, Terrence",ORL,27
92,"Williams, Marvin",CHA,32
93,"Bogdanovic, Bojan",IND,29
94,"Lemon, Walt",CHI,26
95,"Gordon, Aaron",ORL,23
96,"Whiteside, Hassan",MIA,29
97,"Ingles, Joe",UTA,31
98,"Bryant, Thomas",WAS,21
99,"Zeller, Cody",CHA,26
100,"Doncic, Luka",DAL,19
101,"Williams, Lou",LAC,32
102,"Bridges, Mikal",PHO,22
103,"Batum, Nicolas",CHA,30
104,"Cauley-Stein, Willie",SAC,25
105,"Holiday, Justin",MEM,29
Rank,Player,team,age
106,"Isaac, Jonathan",ORL,21
107,"Rose, Derrick",MIN,30
108,"Sabonis, Domantas",IND,22
109,"Anderson, Kyle",MEM,25
110,"Aminu, Al-Farouq",POR,28
111,"Kanter, Enes",POR,26
112,"Dunn, Kris",CHI,24
113,"Portis, Bobby",WAS,23
114,"Morris, Marcus",BOS,29
115,"Bjelica, Nemanja",SAC,30
116,"Adebayo, Bam",MIA,21
117,"Carter, Wendell",CHI,20
118,"Powell, Dwight",DAL,27
119,"Teague, Jeff",MIN,30
120,"Jones, Jemerrio",LAL,23
Rank,Player,team,age
121,"White, Derrick",SAS,24
122,"Harris, Joe",BKN,27
123,"Beverley, Patrick",LAC,30
124,"Bogdanovic, Bogdan",SAC,26
125,"Young, Trae",ATL,20
126,"Green, Jeff",WAS,32
127,"Gibson, Taj",MIN,33
128,"Rubio, Ricky",UTA,28
129,"Vanvleet, Fred",TOR,24
130,"Hayward, Gordon",BOS,28
131,"Prince, Taurean",ATL,24
132,"Harkless, Maurice",POR,25
133,"Ball, Lonzo",LAL,21
134,"Payton, Elfrid",NOR,24
135,"Kuzma, Kyle",LAL,23
Rank,Player,team,age
136,"Augustin, DJ",ORL,31
137,"Morris, Monte",DEN,23
138,"Satoransky, Tomas",WAS,27
139,"Barnes, Harrison",SAC,26
140,"Hardaway Jr, Tim",DAL,26
141,"Gilgeous-Alexander, Shai",LAC,20
142,"Wright, Delon",MEM,26
143,"Jackson, Reggie",DET,28
144,"Holmes, Richaun",PHO,25
145,"Fournier, Evan",ORL,26
146,"Gordon, Eric",HOU,30
147,"Bagley, Marvin",SAC,19
148,"Clarkson, Jordan",CLE,26
149,"Thompson, Tristan",CLE,27
150,"Rondo, Rajon",LAL,32
Rank,Player,team,age
151,"Caldwell-Pope, Kentavious",LAL,25
152,"Vonleh, Noah",NYK,23
153,"Iguodala, Andre",GSW,34
154,"Dinwiddie, Spencer",BKN,25
155,"Noel, Nerlens",OKC,24
156,"Kleber, Maxi",DAL,26
157,"Beasley, Malik",DEN,22
158,"Ellington, Wayne",DET,31
159,"Olynyk, Kelly",MIA,27
160,"Green, JaMychal",LAC,28
161,"Parker, Jabari",WAS,23
162,"Bazemore, Kent",ATL,29
163,"Harris, Gary",DEN,24
164,"Crowder, Jae",UTA,28
165,"Winslow, Justise",MIA,22
Rank,Player,team,age
166,"Forbes, Bryn",SAS,25
167,"Caboclo, Bruno",MEM,23
168,"Jones, Tyus",MIN,22
169,"Bertans, Davis",SAS,26
