Rank,Player,team,age
170,"Osman, Cedi",CLE,23
171,"Wiggins, Andrew",MIN,23
172,"Johnson, Tyler",PHO,26
173,"Plumlee, Mason",DEN,28
174,"Bullock, Reggie",LAL,27
175,"Saric, Dario",MIN,24
176,"Rozier, Terry",BOS,24
177,"LeVert, Caris",BKN,24
178,"Joseph, Cory",IND,27
179,"Faried, Kenneth",HOU,29
180,"Hood, Rodney",POR,26
Rank,Player,team,age
181,"Huerter, Kevin",ATL,20
182,"Moore, E'Twaun",NOR,29
183,"Schroder, Dennis",OKC,25
184,"Hart, Josh",LAL,23
185,"Dragic, Goran",MIA,32
186,"Zubac, Ivica",LAC,21
187,"Brown, Jaylen",BOS,22
188,"Matthews, Wesley",IND,32
189,"Kornet, Luke",NYK,23
190,"House, Danuel",HOU,25
191,"Connaughton, Pat",MIL,25
192,"Allen, Kadeem",NYK,25
193,"Anthony, Carmelo",HOU,34
194,"Bridges, Miles",CHA,20
195,"Looney, Kevon",GSW,22
Rank,Player,team,age
196,"Williams, Kenrich",NOR,24
197,"Arcidiacono, Ryan",CHI,24
198,"Wade, Dwyane",MIA,36
199,"Bembry, DeAndre'",ATL,24
200,"Mills, Patrick",SAS,30
201,"Finney-Smith, Dorian",DAL,25
202,"Dotson, Damyean",NYK,24
203,"Caruso, Alex",LAL,24
204,"Shumpert, Iman",HOU,28
205,"Temple, Garrett",LAC,32
206,"Mudiay, Emmanuel",NYK,22
207,"McConnell, TJ",PHI,26
208,"Len, Alex",ATL,25
209,"Melton, De'Anthony",PHO,20
210,"Jones, Damian",GSW,23
Rank,Player,team,age
211,"Barton, Will",DEN,27
212,"Poeltl, Jakob",SAS,23
213,"Morris, Markieff",OKC,29
214,"Hill, George",MIL,32
215,"Howard, Dwight",WAS,33
216,"Dieng, Gorgui",MIN,28
217,"Shamet, Landry",LAC,21
218,"Henson, John",MIL,28
219,"Robinson, Devin",WAS,23
220,"Belinelli, Marco",SAS,32
221,"Lopez, Robin",CHI,30
222,"Harrison, Shaquille",CHI,25
223,"Noah, Joakim",MEM,33
224,"Ingram, Brandon",LAL,21
225,"Davis, Ed",BKN,29
Rank,Player,team,age
226,"Diallo, Cheick",NOR,22
227,"Okogie, Josh",MIN,20
228,"Waiters, Dion",MIA,27
229,"Muscala, Mike",LAL,27
230,"Bamba, Mohamed",ORL,20
231,"Kennard, Luke",DET,22
232,"Powell, Norman",TOR,25
233,"Payton II, Gary",WAS,26
234,"Miller, Darius",NOR,28
235,"Napier, Shabazz",BKN,27
236,"Burks, Alec",SAC,27
237,"Ennis, James",PHI,28
238,"Smith Jr., Dennis",NYK,21
239,"Green, Gerald",HOU,32
240,"Sexton, Collin",CLE,19
Rank,Player,team,age
241,"Carter, Vince",ATL,41
242,"Burke, Trey",DAL,26
243,"Deng, Luol",MIN,33
244,"Kurucs, Rodions",BKN,20
245,"Jones, Derrick",MIA,21
246,"Okafor, Jahlil",NOR,23
247,"ONeale, Royce",UTA,25
248,"Chandler, Wilson",LAC,31
249,"Layman, Jake",POR,24
250,"Kidd-Gilchrist, Michael",CHA,25
251,"Carroll, DeMarre",BKN,32
252,"Spellman, Omari",ATL,21
253,"Bradley, Avery",MEM,28
254,"Theis, Daniel",BOS,26
255,"Ilyasova, Ersan",MIL,31
Rank,Player,team,age
256,"Craig, Torrey",DEN,28
257,"Baynes, Aron",BOS,32
258,"Johnson, James",MIA,31
259,"Jerebko, Jonas",GSW,31
260,"Crabbe, Allen",BKN,26
261,"Jackson, Josh",PHO,21
262,"Collins, Zach",POR,21
263,"Lin, Jeremy",TOR,30
264,"Marjanovic, Boban",PHI,30
265,"Galloway, Langston",DET,27
266,"Williams, Robert",BOS,21
267,"Bolden, Jonah",PHI,22
268,"Korver, Kyle",UTA,37
269,"Nwaba, David",CLE,25
270,"Brewer, Corey",SAC,32
Rank,Player,team,age
271,"Jackson, Justin",DAL,23
272,"Smith, Ishmael",DET,30
273,"Hezonja, Mario",NYK,23
274,"Hernangomez, Juan",DEN,23
275,"Bogut, Andrew",GSW,34
276,"Hicks, Isaiah",NYK,24
277,"Bradley, Tony",UTA,20
278,"Curry, Seth",POR,28
279,"Leonard, Meyers",POR,26
280,"Birch, Khem",ORL,26
281,"Brunson, Jalen",DAL,22
282,"Snell, Tony",MIL,27
283,"Wood, Christian",NOR,23
284,"Johnson, Stanley",NOR,22
285,"Dekker, Sam",WAS,24
Rank,Player,team,age
286,"Ferguson, Terrance",OKC,20
287,"Anunoby, O.G.",TOR,21
288,"McGruder, Rodney",MIA,27
289,"Barea, JJ",DAL,34
290,"Parsons, Chandler",MEM,30
291,"Kaminsky, Frank",CHA,25
292,"Monk, Malik",CHA,20
293,"Frazier, Tim",MIL,28
294,"Smith, JR",CLE,33
295,"Payne, Cameron",CLE,24
296,"Zeller, Tyler",MEM,28
297,"Davis, Deyonta",ATL,22
298,"Sefolosha, Thabo",UTA,34
299,"Turner, Evan",POR,30
300,"Casspi, Omri",MEM,30
Rank,Player,team,age
301,"Dudley, Jared",BKN,33
302,"Brown, Sterling",MIL,23
303,"Ferrell, Yogi",SAC,25
304,"Zizic, Ante",CLE,21
305,"Wilson, D.J.",MIL,22
306,"Meeks, Jodie",TOR,31
307,"Maker, Thon",DET,21
308,"Trier, Allonzo",NYK,22
309,"Mahinmi, Ian",WAS,32
310,"Evans, Tyreke",IND,29
311,"Rivers, Austin",HOU,26
312,"Rabb, Ivan",MEM,21
313,"Mejrl, Salah",DAL,32
314,"Lyles, Trey",DEN,23
315,"Stephenson, Lance",LAL,28
Rank,Player,team,age
316,"Hernangomez, Guillermo",CHA,24
317,"Mack, Shelvin",CHA,28
318,"Crawford, Jamal",PHO,38
319,"Korkmaz, Furkan",PHI,21
320,"Gortat, Marcin",LAC,34
321,"Fultz, Markelle",PHI,20
322,"Livingston, Shaun",GSW,33
323,"Bacon, Dwayne",CHA,23
324,"McDermott, Doug",IND,26
325,"Gasol, Pau",MIL,38
326,"Scott, Mike",PHI,30
327,"Williams, Troy",SAC,24
328,"Knox, Kevin",NYK,19
329,"Boucher, Chris",TOR,25
330,"Colson, Bonzie",MIL,22
Rank,Player,team,age
331,"Hollis-Jefferson, Rondae",BKN,23
332,"Bates-Diop, Keita",MIN,22
333,"Cook, Quinn",GSW,25
334,"Grant, Jerian",ORL,26
335,"Daniels, Troy",PHO,27
336,"Biyombo, Bismack",CHA,26
337,"Ellenson, Henry",NYK,21
338,"Carter-Williams, Michael",ORL,27
339,"Abrines, Alex",OKC,25
340,"Miles, CJ",MEM,31
341,"Clark, Gary",HOU,24
342,"Bender, Dragan",PHO,21
343,"Tolliver, Anthony",MIN,33
344,"Brown, Bruce",DET,22
345,"Hutchison, Chandler",CHI,22
Rank,Player,team,age
346,"Giles, Harry",SAC,20
347,"McRae, Jordan",WAS,27
348,"Canaan, Isaiah",MIL,27
349,"Cunningham, Dante",SAS,31
350,"Hill, Solomon",NOR,27
351,"Reynolds, Cameron",MIN,23
352,"Iwundu, Wesley",ORL,24
353,"Nowitzki, Dirk",DAL,40
354,"Bell, Jordan",GSW,23
355,"Neto, Raul",UTA,26
356,"Smith, Zhaire",PHI,19
357,"Harris, Devin",DAL,35
358,"DiVincenzo, Donte",MIL,21
359,"Chandler, Tyson",LAL,36
360,"Milton, Shake",PHI,119
Rank,Player,team,age
361,"Holiday, Aaron",IND,22
362,"McCaw, Patrick",TOR,23
363,"Knight, Brandon",CLE,27
364,"Hilario, Nene",HOU,36
365,"Lee, Damion",GSW,26
366,"Pachulia, Zaza",DET,34
367,"Spalding, Ray",PHO,21
368,"Parker, Tony",CHA,36
369,"Graham, Treveon",BKN,25
370,"Ntilikina, Frank",NYK,20
371,"Poythress, Alex",ATL,25
372,"Blossomgame, Jaron",CLE,25
373,"Jackson, Frank",NOR,20
374,"Stauskas, Nik",CLE,25
375,"O'Quinn, Kyle",IND,28
Rank,Player,team,age
376,"McKinnie, Alfonzo",GSW,26
377,"Okobo, Elie",PHO,21
378,"Williams, Johnathan",LAL,23
379,"Sampson, Brandon",CHI,21
380,"Carter, Jevon",MEM,23
381,"Clark, Ian",NOR,27
382,"Koufos, Kosta",SAC,29
383,"Dellavedova, Matthew",CLE,28
384,"Lee, Courtney",DAL,33
385,"Randle, Chasson",WAS,25
386,"Johnson, Amir",PHI,31
387,"Udoh, Ekpe",UTA,31
388,"Jackson, Demetrius",PHI,24
389,"Beasley, Michael",LAL,29
390,"Washburn, Julian",MEM,27
Rank,Player,team,age
391,"Brown, Troy",WAS,19
392,"Felton, Raymond",OKC,34
393,"Jones, Jalen",CLE,25
394,"Graham, Devonte'",CHA,23
395,"Creek, Mitchell",MIN,26
396,"Selden, Wayne",CHI,24
397,"Bayless, Jerryd",MIN,30
398,"Wanamaker, Brad",BOS,29
399,"Brooks, Dillon",MEM,22
400,"Simmons, Jonathon",PHI,29
401,"Anderson, Justin",ATL,25
402,"Terry, Emanuel",MIA,23
403,"Leaf, T.J.",IND,21
404,"Jefferson, Amile",ORL,25
405,"Garrett, Billy",NYK,24
Rank,Player,team,age
406,"Exum, Dante",UTA,23
407,"Luwawu-Cabarrot, Timothe",CHI,23
408,"Williams, Alan",BKN,25
409,"Niang, Georges",UTA,25
410,"Lucas, Kalin",DET,29
411,"Thomas, Lance",NYK,30
412,"Adams, Jaylen",ATL,22
413,"Johnson, Wes",WAS,31
414,"Nader, Abdel",OKC,25
415,"Dorsey, Tyler",MEM,22
416,"Caupain, Troy",ORL,23
417,"Broekhoff, Ryan",DAL,28
418,"Sibert, Jordan",ATL,26
419,"Dozier, P.J.",BOS,22
420,"Leuer, Jon",DET,29
Rank,Player,team,age
421,"Patterson, Patrick",OKC,29
422,"Brooks, MarShon",MEM,29
423,"Machado, Scott",LAL,28
424,"Felicio, Cristiano",CHI,26
425,"Monroe, Greg",PHI,28
426,"Smith, Jason",NOR,32
427,"Robinson III, Glenn",DET,24
428,"Hartenstein, Isaiah",HOU,20
429,"Plumlee, Miles",ATL,30
430,"Wagner, Moritz",LAL,21
431,"Chriss, Marquese",CLE,21
432,"McLemore, Ben",SAC,25
433,"Johnson, B.J.",SAC,23
434,"Mason III, Frank",SAC,24
435,"Derrickson, Marcus",GSW,22
Rank,Player,team,age
436,"Frye, Channing",CLE,35
437,"Calderon, Jose",DET,37
438,"Jenkins, John",NYK,27
439,"Robinson, Jerome",LAC,21
440,"Blakeney, Antonio",CHI,22
441,"Miller, Malcolm",TOR,25
442,"Patton, Justin",PHI,21
443,"Moreland, Eric",TOR,27
444,"Martin, Jarell",ORL,24
445,"Labissiere, Skal",POR,22
446,"Robinson, Duncan",MIA,24
447,"Morris, Jaylen",MIL,23
448,"Williams, CJ",MIN,28
449,"Walker, Lonnie",SAS,20
450,"Pinson, Theo",BKN,23
Rank,Player,team,age
451,"Diallo, Hamidou",OKC,20
452,"Brown, Lorenzo",TOR,28
453,"Stephens, DJ",MEM,28
454,"Briscoe, Isaiah",ORL,22
455,"Hamilton, Daniel",ATL,23
456,"Harrison, Andrew",NOR,24
457,"Sumner, Edmond",IND,23
458,"Eubanks, Drew",SAS,21
459,"Ojeleye, Semi",BOS,24
460,"Yabusele, Guerschon",BOS,23
461,"Acy, Quincy",PHO,28
462,"Duval, Trevon",MIL,20
463,"Burton, Deonte",OKC,27
464,"Pondexter, Quincy",SAS,30
465,"Maten, Yante",MIA,22
Rank,Player,team,age
466,"Thomas, Khyri",DET,22
467,"Mykhailiuk, Sviatoslav",DET,21
468,"Humphries, Isaac",ATL,20
469,"Hannahs, Dusty",MEM,25
470,"Motley, Johnathan",LAC,23
471,"Qi, Zhou",HOU,22
472,"Mbah a Moute, Luc",LAC,32
473,"Nunnally, James",HOU,28
474,"Loyd, Jordan",TOR,25
475,"Allen, Grayson",UTA,23
476,"Fredette, Jimmer",PHO,29
477,"Baker, Ron",WAS,25
478,"Chiozza, Chris",HOU,23
479,"Teodosic, Milos",LAC,31
480,"Vanderbilt, Jarred",DEN,19
Rank,Player,team,age
481,"Wallace, Ty",LAC,24
482,"Anderson, Ryan",MIA,30
483,"Adel, Deng",CLE,22
484,"Swanigan, Caleb",SAC,21
485,"Young, Nick",DEN,33
486,"Welsh, Thomas",DEN,22
487,"Reed, Davon",IND,23
488,"Bonga, Isaac",LAL,19
489,"Watanabe, Yuta",MEM,24
490,"Thornwell, Sindarius",LAC,24
491,"Evans, Jacob",GSW,21
492,"Bertans, Dairis",NOR,29
493,"Thomas, Isaiah",DEN,29
494,"Evans, Jawun",OKC,22
495,"Lydon, Tyler",DEN,22
Rank,Player,team,age
496,"Lofton, Zach",DET,26
497,"Macura, J.P.",CHA,23
498,"Macon, Daryl",DAL,23
499,"Alkins, Rawle",CHI,21
500,"Akoon-Purcell, DeVaughn",DEN,25
501,"Metu, Chimezie",SAS,21
502,"Simons, Anfernee",POR,19
503,"Johnson, Alize",IND,22
504,"Edwards, Vincent",HOU,22
505,"Haslem, Udonis",MIA,38
506,"King, George",PHO,24
507,"Delgado, Angel",LAC,24
508,"Long, Naz",UTA,25
509,"Cavanaugh, Tyler",UTA,24
510,"Goodwin, Brandon",DEN,23
Rank,Player,team,age
511,"Richardson, Malachi",TOR,22
512,"Highsmith, Haywood",PHI,22
513,"Chealey, Joe",CHA,23
514,"Terrell, Jared",MIN,23
515,"Musa, Dzanan",BKN,19
516,"Trent, Gary",POR,19
517,"Anigbogu, Ike",IND,20
518,"Simmons, Kobi",CLE,21
519,"Ulis, Tyler",CHI,22
520,"Holland, John",CLE,30
521,"Baldwin, Wade",POR,22
522,"White, Okaro",WAS,26
523,"McCall, Tahjere",BKN,24
524,"Davis, Tyler",OKC,21
525,"Frazier, Melvin",ORL,22
Rank,Player,team,age
526,"Grantham, Donte",OKC,23
527,"Antetokounmpo, Kostas",DAL,21
528,"Ingram, Andre",LAL,33
529,"Motiejunas, Donatas",SAS,28
530,"Jones, Terrence",HOU,26
