Rank,Player,team,age
1,"Jokic, Nikola",DEN,26
2,"Durant, Kevin",BKN,33
3,"Embiid, Joel",PHI,27
4,"James, LeBron",LAL,37
5,"Irving, Kyrie",BKN,29
6,"Curry, Stephen",GSW,33
7,"Murray, Dejounte",SAS,25
8,"Towns, Karl-Anthony",MIN,26
9,"Davis, Anthony",LAL,28
10,"Antetokounmpo, Giannis",MIL,27
11,"Young, Trae",ATL,23
12,"Harden, James",PHI,32
13,"Tatum, Jayson",BOS,23
14,"Vanvleet, Fred",TOR,27
15,"George, Paul",LAC,31
Rank,Player,team,age
16,"Williams, Robert",BOS,24
17,"Butler, Jimmy",MIA,32
18,"Porzingis, Kristaps",WAS,26
19,"Paul, Chris",PHO,36
20,"Booker, Devin",PHO,25
21,"Ball, LaMelo",CHA,20
22,"Haliburton, Tyrese",IND,21
23,"Gobert, Rudy",UTA,29
24,"Mitchell, Donovan",UTA,25
25,"Turner, Myles",IND,25
26,"Ball, Lonzo",CHI,24
27,"DeRozan, DeMar",CHI,32
28,"Doncic, Luka",DAL,22
29,"Vucevic, Nikola",CHI,31
30,"Rozier, Terry",CHA,27
Rank,Player,team,age
31,"Bridges, Miles",CHA,23
32,"Holiday, Jrue",MIL,31
33,"Allen, Jarrett",CLE,23
34,"Gilgeous-Alexander, Shai",OKC,23
35,"Siakam, Pascal",TOR,27
36,"Bane, Desmond",MEM,23
37,"Garland, Darius",CLE,21
38,"Jackson, Jaren",MEM,22
39,"Adebayo, Bam",MIA,24
40,"Middleton, Khris",MIL,30
41,"Sabonis, Domantas",SAC,25
42,"Edwards, Anthony",MIN,20
43,"Trent, Gary",TOR,22
44,"Valanciunas, Jonas",NOR,29
45,"Ayton, Deandre",PHO,23
Rank,Player,team,age
46,"LaVine, Zach",CHI,26
47,"Horford, Al",BOS,35
48,"Morant, Ja",MEM,22
49,"Lillard, Damian",POR,31
50,"Collins, John",ATL,24
51,"Covington, Robert",LAC,31
52,"Anunoby, O.G.",TOR,24
53,"McCollum, CJ",NOR,30
54,"Bamba, Mohamed",ORL,23
55,"Bridges, Mikal",PHO,25
56,"Brogdon, Malcolm",IND,29
57,"Maxey, Tyrese",PHI,21
58,"Portis, Bobby",MIL,26
59,"Thompson, Klay",GSW,31
60,"Harris, Tobias",PHI,29
Rank,Player,team,age
61,"Grant, Jerami",DET,27
62,"Brown, Jaylen",BOS,25
63,"Lowry, Kyle",MIA,35
64,"Poole, Jordan",GSW,22
65,"Capela, Clint",ATL,27
66,"Barnes, Scottie",TOR,20
67,"Conley, Mike",UTA,34
68,"Hoard, Jaylen",OKC,22
69,"Markkanen, Lauri",CLE,24
70,"Bogdanovic, Bogdan",ATL,29
71,"Poeltl, Jakob",SAS,26
72,"Ingram, Brandon",NOR,24
73,"Russell, D'Angelo",MIN,25
74,"Beal, Bradley",WAS,28
75,"Hayward, Gordon",CHA,31
Rank,Player,team,age
76,"Smart, Marcus",BOS,27
77,"Jones, Herb",NOR,23
78,"Hart, Josh",POR,26
79,"Green, Draymond",GSW,31
80,"Wood, Christian",HOU,26
81,"Kaminsky, Frank",PHO,28
82,"Mobley, Evan",CLE,20
83,"Carter, Wendell",ORL,23
84,"Powell, Norman",LAC,28
85,"White, Derrick",BOS,27
86,"Crowder, Jae",PHO,31
87,"Thybulle, Matisse",PHI,24
88,"Herro, Tyler",MIA,21
89,"Robinson, Mitchell",NYK,23
90,"Curry, Seth",BKN,31
Rank,Player,team,age
91,"Cunningham, Cade",DET,20
92,"Vassell, Devin",SAS,21
93,"Kuzma, Kyle",WAS,26
94,"Johnson, Cameron",PHO,25
95,"Finney-Smith, Dorian",DAL,28
96,"Simpson, Zavier",OKC,24
97,"Fox, De'Aaron",SAC,24
98,"Brunson, Jalen",DAL,25
99,"Bey, Saddiq",DET,22
